id,sample_type
SCr-308,Deployed
SCr-309,Deployed
SCr-31,Deployed
SCr-310,Deployed
SCr-311,Deployed
SCr-312,Deployed
SCr-313,Deployed
SCr-314,Deployed
SCr-315,Deployed
SCr-316,Deployed
SCr-317,Deployed
SCr-318,Deployed
SCr-319,Deployed
SCr-32,Deployed
SCr-320,Deployed
SCr-321,Deployed
SCr-322,Deployed
SCr-323,Deployed
SCr-324,Deployed
SCr-325,Deployed
SCr-326,Deployed
SCr-327,Deployed
SCr-328,Deployed
SCr-329,Deployed
SCr-33,Deployed
SCr-330,Deployed
SCr-331,Deployed
SCr-332,Deployed
SCr-333,Deployed
SCr-334,Deployed
SCr-335,Deployed
SCr-336,Deployed
SCr-337,Deployed
SCr-338,Deployed
SCr-339,Deployed
SCr-34,Deployed
SCr-340,Deployed
SCr-341,Deployed
SCr-342,Deployed
SCr-343,Deployed
SCr-344,Deployed
SCr-345,Deployed
SCr-346,Deployed
SCr-347,Deployed
SCr-348,Deployed
SCr-349,Deployed
SCr-35,Deployed
SCr-350,Deployed
SCr-351,Deployed
SCr-352,Deployed
SCr-353,Deployed
SCr-354,Deployed
SCr-355,Deployed
SCr-356,Deployed
SCr-357,Deployed
SCr-358,Deployed
SCr-359,Deployed
SCr-36,Deployed
SCr-360,Deployed
SCr-361,Deployed
SCr-362,Deployed
SCr-363,Deployed
SCr-364,Deployed
SCr-365,Deployed
SCr-366,Deployed
SCr-367,Deployed
SCr-368,Deployed
SCr-369,Deployed
SCr-37,Deployed
SCr-370,Deployed
SCr-371,Deployed
SCr-372,Deployed
SCr-373,Deployed
SCr-374,Deployed
SCr-375,Deployed
SCr-376,Deployed
SCr-377,Deployed
SCr-378,Deployed
SCr-379,Deployed
SCr-38,Deployed
SCr-380,Deployed
SCr-381,Deployed
SCr-382,Deployed
SCr-383,Deployed
SCr-384,Deployed
SCr-385,Deployed
SCr-386,Deployed
SCr-387,Deployed
SCr-388,Deployed
SCr-389,Deployed
SCr-39,Deployed
SCr-390,Deployed
SCr-391,Deployed
SCr-392,Deployed
SCr-393,Deployed
SCr-394,Deployed
SCr-395,Deployed
SCr-396,Deployed
SCr-397,Deployed
SCr-398,Deployed
SCr-399,Deployed
SCr-4,Deployed
SCr-40,Deployed
SCr-400,Deployed
SCr-401,Deployed
SCr-402,Deployed
SCr-403,Deployed
SCr-404,Deployed
SCr-405,Deployed
SCr-406,Deployed
SCr-407,Deployed
SCr-408,Deployed
SCr-409,Deployed
SCr-41,Deployed
SCr-410,Deployed
SCr-411,Deployed
SCr-412,Deployed
SCr-413,Deployed
SCr-414,Deployed
SCr-415,Deployed
SCr-416,Deployed
SCr-417,Deployed
SCr-418,Deployed
SCr-419,Deployed
SCr-42,Deployed
SCr-420,Deployed
SCr-421,Deployed
SCr-422,Deployed
SCr-423,Deployed
SCr-424,Deployed
SCr-425,Deployed
SCr-426,Deployed
SCr-427,Deployed
SCr-428,Deployed
SCr-429,Deployed
SCr-43,Deployed
SCr-430,Deployed
SCr-431,Deployed
SCr-432,Deployed
SCr-433,Deployed
SCr-434,Deployed
SCr-435,Deployed
SCr-436,Deployed
SCr-437,Deployed
SCr-438,Deployed
SCr-439,Deployed
SCr-43943,?
