id,target,dilution,replicate,conc,BLOD,BLOQ,Ct,well,source_file
SCr-807,coho,1:5,1.0,23.90720307770547,1,1,38.24066925,A7,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-807,coho,1:5,2.0,84.48131807305786,0,0,36.34300232,A8,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-807,coho,1:5,3.0,16.12314330315029,1,1,38.8328476,A9,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-826,coho,1:1,1.0,121.48379195443572,0,0,33.37749863,A10,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-826,coho,1:1,2.0,82.61952413055162,0,0,33.95706558,A11,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-826,coho,1:1,3.0,90.29313109721177,0,0,33.82355118,A12,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-808,coho,1:1,1.0,38.5953298450527,0,0,35.10123444,B4,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-808,coho,1:1,2.0,52.333200422124,0,0,34.64348602,B5,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-808,coho,1:1,3.0,51.66618452000897,0,0,34.66276932,B6,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-808,coho,1:5,1.0,136.99123697645715,0,0,35.61633682,B7,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-808,coho,1:5,2.0,82.33796722129499,0,0,36.38163376,B8,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-808,coho,1:5,3.0,103.02606596972963,0,0,36.04467392,B9,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-826,coho,1:5,1.0,120.30629816132796,0,0,35.81157684,B10,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-826,coho,1:5,2.0,58.02988496916662,0,0,36.90759277,B11,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-826,coho,1:5,3.0,106.10758144634042,0,0,36.00037003,B12,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-811,coho,1:1,1.0,85.2845841005762,0,0,33.9093399,C4,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-811,coho,1:1,2.0,51.57593081532398,0,0,34.66539764,C5,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-811,coho,1:1,3.0,19.594556084239574,0,0,36.1202774,C6,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-811,coho,1:5,1.0,21.454004663691922,1,1,38.40342712,C7,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-811,coho,1:5,2.0,11.542822059216274,1,1,39.33523178,C8,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-811,coho,1:5,3.0,39.78743565805831,1,1,37.47494125,C9,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-829,coho,1:1,1.0,218.4270424439511,0,0,32.49556732,C10,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-829,coho,1:1,2.0,165.61953724926965,0,0,32.91161346,C11,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-829,coho,1:1,3.0,104.49904206768134,0,0,33.60389709,C12,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-823,coho,1:1,1.0,52.767521707374044,0,0,34.63106155,D4,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-823,coho,1:1,2.0,28.88014027826526,0,0,35.53715134,D5,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-823,coho,1:1,3.0,49.70751464589781,0,0,34.72086716,D6,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-823,coho,1:5,1.0,18.642538872122795,1,1,38.61458588,D7,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-823,coho,1:5,2.0,27.845269673316846,1,1,38.01144409,D8,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-823,coho,1:5,3.0,18.73544405947832,1,1,38.60711288,D9,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-829,coho,1:5,1.0,273.13306623434164,0,0,34.57901001,D10,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-829,coho,1:5,2.0,149.00266852177796,0,0,35.48999023,D11,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-829,coho,1:5,3.0,230.31812454663506,0,0,34.8353157,D12,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-817,coho,1:1,1.0,16.036934197303616,0,0,36.42147064,E4,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-817,coho,1:1,2.0,16.83467805113058,0,0,36.34849167,E5,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-817,coho,1:1,3.0,21.612645140970077,0,0,35.97291565,E6,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-817,coho,1:5,1.0,41.94229797400542,1,1,37.39565277,E7,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-817,coho,1:5,2.0,54.76579035498338,1,1,36.99462128,E8,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-817,coho,1:5,3.0,27.996323623605495,1,1,Undetermined,E9,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-832,coho,1:1,1.0,22.41233930301578,0,0,35.91829681,E10,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-832,coho,1:1,2.0,6.258361671339089,1,1,37.83602142,E11,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-832,coho,1:1,3.0,6.58095798299489,1,1,37.76046371,E12,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-816,coho,1:1,1.0,117.9329828577283,0,0,33.42209244,F4,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-816,coho,1:1,2.0,95.88492713610364,0,0,33.73322296,F5,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-816,coho,1:1,3.0,122.70915879611866,0,0,33.3624115,F6,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-816,coho,1:5,1.0,111.79669654539188,0,0,35.92185593,F7,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-816,coho,1:5,2.0,72.13325620046433,0,0,36.58054352,F8,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-816,coho,1:5,3.0,140.069476916056,0,0,35.58293152,F9,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-832,coho,1:5,1.0,27.996323623605495,1,1,Undetermined,F10,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-832,coho,1:5,2.0,27.996323623605495,1,1,Undetermined,F11,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-832,coho,1:5,3.0,8.548372776287165,1,1,39.7867012,F12,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
