id,target,dilution,conc,conc_sd,detected,BLOD,BLOQ,n_replicates,n_amplified,n_BLOD,n_BLOQ,Ct_Mean,Ct_sd,delta_Ct,inhibition,source_file,sample_type,sample_mid,sample_wake,sample_start,sample_end,sample_duration,vol_target,vol_actual,vol_diff,lab_field,ESP,log_file,sample_rate,date,hour,morn_midday_eve,deployment
SCr-1,coho,1:1,0.0,0.0,0,1,1,6,0,6,6,,,,,20210208_Scott_Creek_Okisutch_Kevan_P2.xls,Control,2019-03-06 14:06:04,2019-03-06 13:37:15,2019-03-06 13:42:45,2019-03-06 14:29:24,46.65,2000.0,2000.0,0.0,control,Waldo,Waldo_2019_Scott_Creek_20210223.csv,42.87245444801715,2019-03-06,14.0,1.0,1.0
SCr-1,coho,1:5,0.0,0.0,0,1,1,6,0,6,6,,,,,20210208_Scott_Creek_Okisutch_Kevan_P2.xls,Control,2019-03-06 14:06:04,2019-03-06 13:37:15,2019-03-06 13:42:45,2019-03-06 14:29:24,46.65,2000.0,2000.0,0.0,control,Waldo,Waldo_2019_Scott_Creek_20210223.csv,42.87245444801715,2019-03-06,14.0,1.0,1.0
SCr-1,trout,1:1,0.0,0.0,0,1,1,6,0,6,6,,,,,20210208_Scott_Creek_Omykiss_Kevan_P2.xls,Control,2019-03-06 14:06:04,2019-03-06 13:37:15,2019-03-06 13:42:45,2019-03-06 14:29:24,46.65,2000.0,2000.0,0.0,control,Waldo,Waldo_2019_Scott_Creek_20210223.csv,42.87245444801715,2019-03-06,14.0,1.0,1.0
SCr-1,trout,1:5,0.0,0.0,0,1,1,6,0,6,6,,,,,20210208_Scott_Creek_Omykiss_Kevan_P2.xls,Control,2019-03-06 14:06:04,2019-03-06 13:37:15,2019-03-06 13:42:45,2019-03-06 14:29:24,46.65,2000.0,2000.0,0.0,control,Waldo,Waldo_2019_Scott_Creek_20210223.csv,42.87245444801715,2019-03-06,14.0,1.0,1.0
SCr-134,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Okistuch_Kevan_P1_data.xls,Control,2019-05-02 15:31:53,2019-05-02 15:21:14,2019-05-02 15:26:44,2019-05-02 15:37:02,10.3,500.0,500.0,0.0,control,Moe,Moe_2019_Scott_Creek_2_20210223.csv,48.543689320388346,2019-05-02,16.0,1.0,2.0
SCr-133,trout,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Omykiss_Kevan_P1_data.xls,Control,2019-05-02 15:01:44,2019-05-02 14:51:23,2019-05-02 14:56:52,2019-05-02 15:06:36,9.72,500.0,500.0,0.0,control,Moe,Moe_2019_Scott_Creek_2_20210223.csv,51.440329218107,2019-05-02,15.0,1.0,2.0
SCr-265,trout,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Omykiss_Kevan_P1_data.xls,Control,2019-06-25 14:55:40,2019-06-25 14:47:32,2019-06-25 14:50:13,2019-06-25 15:01:07,10.88,500.0,500.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,45.95588235294117,2019-06-25,15.0,1.0,5.0
SCr-265,trout,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Omykiss_Kevan_P1_data.xls,Control,2019-06-25 14:55:40,2019-06-25 14:47:32,2019-06-25 14:50:13,2019-06-25 15:01:07,10.88,500.0,500.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,45.95588235294117,2019-06-25,15.0,1.0,5.0
SCr-265,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Okistuch_Kevan_P1_data.xls,Control,2019-06-25 14:55:40,2019-06-25 14:47:32,2019-06-25 14:50:13,2019-06-25 15:01:07,10.88,500.0,500.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,45.95588235294117,2019-06-25,15.0,1.0,5.0
SCr-265,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Okistuch_Kevan_P1_data.xls,Control,2019-06-25 14:55:40,2019-06-25 14:47:32,2019-06-25 14:50:13,2019-06-25 15:01:07,10.88,500.0,500.0,0.0,control,Gordon,Gordon_2019_Scott_Creek_20210223.csv,45.95588235294117,2019-06-25,15.0,1.0,5.0
