id,target,dilution,conc,conc_sd,detected,BLOD,BLOQ,n_replicates,n_amplified,n_BLOD,n_BLOQ,Ct_Mean,Ct_sd,delta_Ct,inhibition,source_file
SCr-107,trout,1:5,0.0,0.0,1,1,1,3,3,3,3,36.2151985168457,0.8670952916145325,-2.0933914184570312,0.0,20210208_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-108,coho,1:1,16.47168286954881,5.851109291530058,1,0,0,3,3,0,0,36.524227142333984,0.5101670026779175,-0.8267860412597656,1.0,20210202_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-108,coho,1:5,43.20697440166119,74.83667490500507,1,0,0,3,3,2,2,37.35101318359375,1.4201301336288452,-0.8267860412597656,1.0,20210202_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-108,trout,1:1,306.8481578482558,25.230159417252032,1,0,0,3,3,0,0,31.127824783325195,0.12393482774496077,-2.6224651336669993,0.0,20210202_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-108,trout,1:5,282.00391823811793,92.63994337543583,1,0,0,3,3,0,0,33.750289916992195,0.5101288557052612,-2.6224651336669993,0.0,20210202_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-109,coho,1:1,25.6630634286085,10.733032853112768,1,0,0,3,3,0,0,35.89017868041992,0.6515008211135864,-1.5392227172851562,1.0,20210210_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-109,coho,1:5,0.0,0.0,1,1,1,3,1,3,3,37.42940139770508,,-1.5392227172851562,1.0,20210210_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-109,trout,1:1,135.24468335345034,8.972879701280537,1,0,0,3,3,0,0,32.36952590942383,0.10252568870782852,-1.9306259155273438,0.0,20210210_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-109,trout,1:5,197.08472276973114,65.649073735846,1,0,0,3,3,0,0,34.30015182495117,0.5483986139297485,-1.9306259155273438,0.0,20210210_Scott_Creek_Omykiss_Kevan_P1.xls
SCr-11,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,1.0,20201118_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-11,coho,1:5,0.0,0.0,1,1,1,3,2,3,3,38.90095520000001,0.235814646,,1.0,20201118_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-11,trout,1:1,0.0,0.0,1,1,1,3,3,3,3,37.77127075,0.98924613,,,20201118_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-11,trout,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20201118_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-110,coho,1:1,0.0,0.0,1,1,1,3,2,3,3,39.6052360534668,0.496526300907135,2.568592071533196,1.0,20210204_Scott_Creek_Okisutch_Kevan_P3.xls
