id,target,dilution,replicate,conc,amplified,BLOD,BLOQ,Ct,Ct_Mean,Ct_sd,well,source_file
SCr-829,coho,1:5,2.0,157.53486504360782,1,0,0,35.48999023,34.96810532,0.469782978,D11,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-829,coho,1:5,3.0,243.5489153114119,1,0,0,34.8353157,34.96810532,0.469782978,D12,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-817,coho,1:1,1.0,16.95105142289477,1,0,0,36.42147064,36.24762726,0.240688205,E4,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-817,coho,1:1,2.0,17.794611863793296,1,0,0,36.34849167,36.24762726,0.240688205,E5,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-817,coho,1:1,3.0,22.847301293784632,1,0,0,35.97291565,36.24762726,0.240688205,E6,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-817,coho,1:5,1.0,0.0,1,1,1,37.39565277,37.19513702,0.283572078,E7,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-817,coho,1:5,2.0,0.0,1,1,1,36.99462128,37.19513702,0.283572078,E8,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-817,coho,1:5,3.0,0.0,0,1,1,,37.19513702,0.283572078,E9,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-832,coho,1:1,1.0,23.693022621379264,1,0,0,35.91829681,37.17159271,1.086044431,E10,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-832,coho,1:1,2.0,0.0,1,1,1,37.83602142,37.17159271,1.086044431,E11,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-832,coho,1:1,3.0,0.0,1,1,1,37.76046371,37.17159271,1.086044431,E12,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-816,coho,1:1,1.0,124.75450251480518,1,0,0,33.42209244,33.50590897,0.199108496,F4,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-816,coho,1:1,2.0,101.42276193950937,1,0,0,33.73322296,33.50590897,0.199108496,F5,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-816,coho,1:1,3.0,129.8089993442654,1,0,0,33.3624115,33.50590897,0.199108496,F6,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-816,coho,1:5,1.0,118.1848589231385,1,0,0,35.92185593,36.02844238,0.507275224,F7,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-816,coho,1:5,2.0,76.2416874173729,1,0,0,36.58054352,36.02844238,0.507275224,F8,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
SCr-816,coho,1:5,3.0,148.08648849725648,1,0,0,35.58293152,36.02844238,0.507275224,F9,20200930_Scott_Creek_Okisutch_Kevan_P1_results.csv
