Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201112_Scott_Creek_Omykiss_Chloe_P2.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-12 14:26:52 PM PST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
E7,SCr-416-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.0015564,32.11351395,0.2177632,311.4021301,292.0040283,38.31809616,FALSE,0.1,TRUE,3,28,,N,N
E8,SCr-416-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.97450447,32.11351395,0.2177632,316.7442627,292.0040283,38.31809616,FALSE,0.1,TRUE,3,28,,N,N
E9,SCr-416-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.36447906,32.11351395,0.2177632,247.8657532,292.0040283,38.31809616,FALSE,0.1,TRUE,3,29,,N,N
E10,SCr-535,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.75951195,31.91072083,0.134115323,362.5916748,330.4979553,28.37774277,FALSE,0.1,TRUE,3,28,,N,N
E11,SCr-535,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.95735931,31.91072083,0.134115323,320.1773987,330.4979553,28.37774277,FALSE,0.1,TRUE,3,28,,N,N
E12,SCr-535,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.01528931,31.91072083,0.134115323,308.724762,330.4979553,28.37774277,FALSE,0.1,TRUE,3,28,,N,N
F1,,O.mykiss,STANDARD,FAM,NFQ-MGB,39.20385742,38.70443726,0.706286788,10,,,FALSE,0.1,TRUE,3,35,,Y,N
F2,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,38.70443726,0.706286788,10,,,FALSE,0.1,TRUE,3,39,,N,Y
F3,,O.mykiss,STANDARD,FAM,NFQ-MGB,38.20501709,38.70443726,0.706286788,10,,,FALSE,0.1,TRUE,3,34,,Y,N
F4,SCr-508,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.72692108,36.55554199,0.15714936,15.95671368,17.82956314,1.732586861,FALSE,0.1,TRUE,3,33,,N,N
F5,SCr-508,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.41820145,36.55554199,0.15714936,19.37523651,17.82956314,1.732586861,FALSE,0.1,TRUE,3,32,,N,N
F6,SCr-508,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.52150345,36.55554199,0.15714936,18.15673828,17.82956314,1.732586861,FALSE,0.1,TRUE,3,31,,N,N
F7,SCr-508-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.08074188,33.3189621,0.211961359,157.9876709,136.8325043,18.72316742,FALSE,0.1,TRUE,3,30,,N,N
F8,SCr-508-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.48671341,33.3189621,0.211961359,122.3946915,136.8325043,18.72316742,FALSE,0.1,TRUE,3,30,,N,N
F9,SCr-508-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.389431,33.3189621,0.211961359,130.1151733,136.8325043,18.72316742,FALSE,0.1,TRUE,3,30,,N,N
F10,SCr-535-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.63241196,34.12270737,0.453986287,59.55265808,84.20227814,22.29413414,FALSE,0.1,TRUE,3,31,,N,N
