Block Type,96well,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\chloe\20201029_Scott_Creek_Okisutch_Chloe_P2.eds,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-29 16:32:22 PM PDT,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments
D12,SCr-596-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
E1,,O.kisutch,STANDARD,FAM,NFQ-MGB,35.4686203,35.13989639,0.298772246,100,,,FALSE,0.1,TRUE,3,31,
E2,,O.kisutch,STANDARD,FAM,NFQ-MGB,35.06620026,35.13989639,0.298772246,100,,,FALSE,0.1,TRUE,3,31,
E3,,O.kisutch,STANDARD,FAM,NFQ-MGB,34.88486862,35.13989639,0.298772246,100,,,FALSE,0.1,TRUE,3,31,
E4,SCr-588,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.95602417,,,,,FALSE,0.1,TRUE,3,39,
E5,SCr-588,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.95602417,37.95602417,,14.99098301,14.99098301,,FALSE,0.1,TRUE,3,34,
E6,SCr-588,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.95602417,,,,,FALSE,0.1,TRUE,3,39,
E7,SCr-588-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
E8,SCr-588-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
E9,SCr-588-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
E10,SCr-599,O.kisutch,UNKNOWN,FAM,NFQ-MGB,32.6578064,32.88895798,0.252086043,401.2198792,350.4250793,53.70212936,FALSE,0.1,TRUE,3,29,
E11,SCr-599,O.kisutch,UNKNOWN,FAM,NFQ-MGB,32.85131454,32.88895798,0.252086043,355.8308411,350.4250793,53.70212936,FALSE,0.1,TRUE,3,29,
E12,SCr-599,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.15774536,32.88895798,0.252086043,294.2245178,350.4250793,53.70212936,FALSE,0.1,TRUE,3,29,
F1,,O.kisutch,STANDARD,FAM,NFQ-MGB,38.08179474,38.3569603,0.243061349,10,,,FALSE,0.1,TRUE,3,34,
F2,,O.kisutch,STANDARD,FAM,NFQ-MGB,38.44667816,38.3569603,0.243061349,10,,,FALSE,0.1,TRUE,3,34,
F3,,O.kisutch,STANDARD,FAM,NFQ-MGB,38.5424118,38.3569603,0.243061349,10,,,FALSE,0.1,TRUE,3,34,
F4,SCr-589,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
F5,SCr-589,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
F6,SCr-589,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
F7,SCr-589-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
F8,SCr-589-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
F9,SCr-589-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
F10,SCr-599-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.84202957,36.50156021,0.598115027,55.6448555,38.75078964,15.00345516,FALSE,0.1,TRUE,3,32,
F11,SCr-599-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.00882339,36.50156021,0.598115027,26.98012543,38.75078964,15.00345516,FALSE,0.1,TRUE,3,33,
F12,SCr-599-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.65383148,36.50156021,0.598115027,33.62738037,38.75078964,15.00345516,FALSE,0.1,TRUE,3,32,
G1,,O.kisutch,STANDARD,FAM,NFQ-MGB,Undetermined,,,5,,,FALSE,0.1,TRUE,3,39,
G2,,O.kisutch,STANDARD,FAM,NFQ-MGB,Undetermined,,,5,,,FALSE,0.1,TRUE,3,39,
G3,,O.kisutch,STANDARD,FAM,NFQ-MGB,Undetermined,,,5,,,FALSE,0.1,TRUE,3,39,
G4,SCr-592,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
G5,SCr-592,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
G6,SCr-592,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
G7,SCr-592-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
G8,SCr-592-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
G9,SCr-592-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
G10,SCr-600,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.99007416,35.01799393,0.178530529,94.40086365,93.15634918,10.17151165,FALSE,0.1,TRUE,3,31,
G11,SCr-600,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.85506821,35.01799393,0.178530529,102.6483536,93.15634918,10.17151165,FALSE,0.1,TRUE,3,31,
G12,SCr-600,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.20883942,35.01799393,0.178530529,82.41985321,93.15634918,10.17151165,FALSE,0.1,TRUE,3,31,
H1,,O.kisutch,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
H2,,O.kisutch,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
H3,,O.kisutch,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
H4,SCr-593,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
H5,SCr-593,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
H6,SCr-593,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
H7,SCr-593-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
H8,SCr-593-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
H9,SCr-593-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
H10,SCr-600-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.34910202,37.80553818,0.637659132,21.84536362,17.26780701,6.001683235,FALSE,0.1,TRUE,3,33,
H11,SCr-600-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.53339767,37.80553818,0.637659132,19.48509979,17.26780701,6.001683235,FALSE,0.1,TRUE,3,33,
H12,SCr-600-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.53411484,37.80553818,0.637659132,10.47295666,17.26780701,6.001683235,FALSE,0.1,TRUE,3,35,
