Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\kevan\20210302_Scott_Creek_Okitsuch_P2.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-03-01 13:10:30 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,OUTLIERRG,EXPFAIL
G3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,37.5652504,38.00519562,0.622176468,5,,,FALSE,0.1,TRUE,3,33,,Y,N,N
G4,SCr-207,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.39647675,35.29850388,0.361976445,51.63333893,56.14320755,13.83504772,FALSE,0.1,TRUE,3,32,,N,N,N
G5,SCr-207,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.89762878,35.29850388,0.361976445,71.67046356,56.14320755,13.83504772,FALSE,0.1,TRUE,3,30,,N,N,N
G6,SCr-207,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.60141373,35.29850388,0.361976445,45.12583542,56.14320755,13.83504772,FALSE,0.1,TRUE,3,31,,N,N,N
G7,SCr-207-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.05363464,36.22523499,0.305625647,33.52171707,30.33455467,5.706233025,FALSE,0.1,TRUE,3,32,,N,N,N
G8,SCr-207-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.5780983,36.22523499,0.305625647,23.74671555,30.33455467,5.706233025,FALSE,0.1,TRUE,3,33,,N,Y,N
G9,SCr-207-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.04397583,36.22523499,0.305625647,33.73522568,30.33455467,5.706233025,FALSE,0.1,TRUE,3,32,,N,N,N
G10,SCr-212,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.88684845,37.72172165,0.371294737,10.04579926,11.43075275,2.941030502,FALSE,0.1,TRUE,3,32,,N,N,N
G11,SCr-212,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.29650879,37.72172165,0.371294737,14.80857754,11.43075275,2.941030502,FALSE,0.1,TRUE,3,32,,N,N,N
G12,SCr-212,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.98181152,37.72172165,0.371294737,9.437884331,11.43075275,2.941030502,FALSE,0.1,TRUE,3,33,,N,N,N
H1,,O.kitsuch,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
H2,,O.kitsuch,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
H3,,O.kitsuch,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N
H4,SCr-208,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.93635559,39.36516953,0.482283741,5.039339066,3.926156282,1.175387025,FALSE,0.1,TRUE,3,33,,N,N,N
H5,SCr-208,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.88728714,39.36516953,0.482283741,2.697141886,3.926156282,1.175387025,FALSE,0.1,TRUE,3,34,,N,N,N
H6,SCr-208,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.27185822,39.36516953,0.482283741,4.041988373,3.926156282,1.175387025,FALSE,0.1,TRUE,3,34,,N,N,N
H7,SCr-208-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.02769852,37.49630737,0.697635055,17.6706562,13.83408737,5.39413929,FALSE,0.1,TRUE,3,33,,Y,N,N
H8,SCr-208-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.16316223,37.49630737,0.697635055,16.16518974,13.83408737,5.39413929,FALSE,0.1,TRUE,3,33,,Y,N,N
H9,SCr-208-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.29806137,37.49630737,0.697635055,7.666415691,13.83408737,5.39413929,FALSE,0.1,TRUE,3,33,,Y,N,N
H10,SCr-212-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.09403992,37.74253464,1.91131711,4.543161869,15.69853687,15.77608299,FALSE,0.1,TRUE,3,35,,Y,N,N
H11,SCr-212-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.74253464,1.91131711,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
H12,SCr-212-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.39102936,37.74253464,1.91131711,26.85391235,15.69853687,15.77608299,FALSE,0.1,TRUE,3,32,,Y,N,N
