Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201118_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-18 13:05:14 PM PST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
E3,,O.mykiss,STANDARD,FAM,NFQ-MGB,32.83325195,33.38865662,0.484260231,100,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
E4,SCr-4642,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,Y
E5,SCr-4642,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E6,SCr-4642,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
E7,SCr-462-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.64780426,0.271946311,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E8,SCr-462-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.45550919,37.64780426,0.271946311,8.441452026,7.517700195,1.30638206,FALSE,0.1,TRUE,3,34,,N,N,Y,N
E9,SCr-462-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.84009933,37.64780426,0.271946311,6.593948841,7.517700195,1.30638206,FALSE,0.1,TRUE,3,34,,N,N,N,N
E10,SCr-011,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.46925735,37.77127075,0.98924613,4.402080536,7.958937168,5.471655846,FALSE,0.1,TRUE,3,34,,Y,N,N,N
E11,SCr-011,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.63919449,37.77127075,0.98924613,14.25959873,7.958937168,5.471655846,FALSE,0.1,TRUE,3,34,,Y,N,N,N
E12,SCr-011,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.20536041,37.77127075,0.98924613,5.215132236,7.958937168,5.471655846,FALSE,0.1,TRUE,3,34,,Y,N,N,N
