id,coho,trout
SCr-848,-1.0,0.0
SCr-849,-1.0,-1.0
SCr-85,-1.0,0.0
SCr-850,0.0,0.0
SCr-851,-1.0,0.0
SCr-852,1.0,-1.0
SCr-853,1.0,0.0
SCr-854,0.0,0.0
SCr-855,,
SCr-856,,
SCr-857,,
SCr-86,1.0,1.0
SCr-87,1.0,1.0
SCr-88,1.0,0.0
SCr-89,-1.0,1.0
SCr-9,,1.0
SCr-90,1.0,0.0
SCr-91,0.0,0.0
SCr-92,0.0,0.0
SCr-93,1.0,1.0
SCr-94,0.0,0.0
SCr-95,1.0,0.0
SCr-96,1.0,0.0
SCr-97,1.0,0.0
SCr-98,,1.0
SCr-99,1.0,0.0
SCr-BCN-101719-15A,,
SCr-BCN-101719-15A7,,
SCr-BCN-101719-15B,,0.0
SCr-BCN-101719-15C,0.0,0.0
SCr-BCN-101719-15D,,
SCr-BCN-101719-16A,0.0,0.0
SCr-BCN-101719-16B,0.0,0.0
SCr-BCN-101719-16C,0.0,0.0
SCr-BCN-101719-16D,,
SCr-BCN-101719-16E,0.0,0.0
SCr-BCN-101719-16F,0.0,0.0
SCr-BCN-101719-16G,0.0,0.0
SCr-BCN-101719-17A,0.0,0.0
SCr-EB-102020,,
SCr-EB06,,
SCr-EB1,,
SCr-EB101,,
SCr-EB102,,
SCr-EB11,,
SCr-EB12,,
SCr-EB15,,
SCr-EB16,,
SCr-EB17,,
SCr-EB18,,
SCr-EB19,,
SCr-EB2,,
SCr-EB20,,
SCr-EB201,,
SCr-EB202,,
SCr-EB204,,
SCr-EB205,,
SCr-EB21,,
SCr-EB22,,
SCr-EB23,,
SCr-EB24,,
SCr-EB26,,
SCr-EB3,,
SCr-EB4,,
SCr-EB5,,
SCr-EB7,,
SCr-EB8,,
SCr-EB9,,
SCr-Hand-1A,0.0,1.0
SCr-Hand1B,0.0,0.0
SCr-Match-1B,0.0,0.0
SCr-Match1A,1.0,0.0
SCr-Match1E,-1.0,0.0
SCr-NTC1,,
SCr-Neg2,,
SCr-Neg_3874,,
SCr-SP-M-1-2A,-1.0,0.0
SCr-SP-M-1-3A,0.0,0.0
SCr-SP-M-1-4A,,0.0
SCr-SP-M-1-5A,0.0,0.0
SCr-SP-M-1-6A,0.0,0.0
SCr-SP-M-1-7A,0.0,0.0
SCr-SP-M-1-8A,0.0,0.0
SCr-Sp-101719-BCN,,
SCr-Sp-101719-BCN-17B,0.0,0.0
SCr-Sp-101719-BCN-17C,0.0,0.0
SCr-Sp-101719-BCN-17D,,
SCr-Sp-101719-BCN-17E,0.0,0.0
SCr-Sp-101719-BCN-17F,0.0,0.0
SCr-Sp-101719-BCN-17G,0.0,0.0
SCr-Sp-101719-BCN-18A,0.0,0.0
SCr-Sp-101719-BCN-18B,0.0,0.0
SCr-Sp-101719-BCN-18C,,
SCr-Sp-101719-BCN-18D,,
SCr-Sp-101719-BCN-18E,0.0,0.0
SCr-Sp-101719-BCN-18F,0.0,0.0
SCr-Sp-BCN-101720-18G,0.0,0.0
SCr-Sp-M-45-1C-200305,0.0,0.0
SCr-Sp-SCN-28C,0.0,0.0
SCr-Sp-SCN-28D,,
SCr-Sp-SCN-28E,0.0,0.0
SCr-Sp-SCN-28F,,0.0
SCr-Sp-SCN-28G,0.0,0.0
SCr-Sp-SCN-28H,0.0,0.0
SCr-Sp-SCN-28I,0.0,0.0
SCr-Sp-SCN-28J,0.0,0.0
SCr-Sp-SCN21A-20200305,0.0,0.0
SCr-Sp-SCN21B-20200305,0.0,0.0
SCr-Sp-SCN21C-20200305,0.0,0.0
SCr-Sp-SCN21D-20200305,,
SCr-Sp-SCN22A-20200305,0.0,0.0
SCr-Sp-SCN22B-20200305,0.0,0.0
SCr-hand1C,0.0,0.0
SCr-lab,,
SCr-match1C,0.0,0.0
SCr-match1D,0.0,-1.0
SCr-match1F,0.0,0.0
SCr-neg,,
SCr-neg1,,
