Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\chloe\20201028_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-28 11:45:25 AM PDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
G6,SCr-346,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,34,,N,N
G7,SCr-346-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.2854805,34.29060364,0.033524565,52.18796539,52.0270195,1.10007751,FALSE,0.1,TRUE,3,31,,N,N
G8,SCr-346-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.32639313,34.29060364,0.033524565,50.85533142,52.0270195,1.10007751,FALSE,0.1,TRUE,3,31,,N,N
G9,SCr-346-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.25993347,34.29060364,0.033524565,53.03775406,52.0270195,1.10007751,FALSE,0.1,TRUE,3,31,,N,N
G10,SCr-351,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.83826065,36.71323013,0.129372537,10.39017868,11.27001095,0.924656928,FALSE,0.1,TRUE,3,32,,N,N
G11,SCr-351,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.57991409,36.71323013,0.129372537,12.23377037,11.27001095,0.924656928,FALSE,0.1,TRUE,3,32,,N,N
G12,SCr-351,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.72151947,36.71323013,0.129372537,11.18608284,11.27001095,0.924656928,FALSE,0.1,TRUE,3,32,,N,N
H1,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H2,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H3,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H4,SCr-347,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.93745422,33.19742203,0.301378071,122.381012,105.0659409,19.29810905,FALSE,0.1,TRUE,3,29,,N,N
H5,SCr-347,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.52775955,33.19742203,0.301378071,84.26104736,105.0659409,19.29810905,FALSE,0.1,TRUE,3,31,,N,N
H6,SCr-347,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.12705612,33.19742203,0.301378071,108.5557404,105.0659409,19.29810905,FALSE,0.1,TRUE,3,29,,N,N
H7,SCr-347-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.9052124,32.96915054,0.26492244,124.901329,121.0559998,19.62567139,FALSE,0.1,TRUE,3,29,,N,N
H8,SCr-347-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.26018906,32.96915054,0.26492244,99.79226685,121.0559998,19.62567139,FALSE,0.1,TRUE,3,30,,N,N
H9,SCr-347-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.74204636,32.96915054,0.26492244,138.474411,121.0559998,19.62567139,FALSE,0.1,TRUE,3,29,,N,N
H10,SCr-351-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.36231995,35.90243149,0.42754823,14.03808117,19.22480965,4.974660397,FALSE,0.1,TRUE,3,33,,N,N
H11,SCr-351-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.51700592,35.90243149,0.42754823,23.95607758,19.22480965,4.974660397,FALSE,0.1,TRUE,3,30,,N,N
H12,SCr-351-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.8279686,35.90243149,0.42754823,19.68026733,19.22480965,4.974660397,FALSE,0.1,TRUE,3,32,,N,N
