Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201124_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-24 13:24:23 PM PST,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,OUTLIERRG,EXPFAIL
G5,SCr-264,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.92197037,39.41205597,0.693088412,0.574217439,0.430498779,0.203248873,FALSE,0.1,TRUE,3,35,,Y,N,N,N,N
G6,SCr-264,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.41205597,0.693088412,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,N,Y
G7,SCr-264-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.76004028,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
G8,SCr-264-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.76004028,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
G9,SCr-264-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.76004028,37.76004028,,1.307724833,1.307724833,,FALSE,0.1,TRUE,3,34,,N,N,N,N,N
G10,SCr-048,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,N,Y
G11,SCr-048,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,36,,N,N,N,N,N
G12,SCr-048,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,N,Y
H1,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N
H2,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,N
