Block Type,96well,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\S1P_data\eds_files\20201027_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,NOAMP
C8,SCr-382-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.49140167,34.28949738,0.370352894,51.74580383,59.87685013,14.74978638,FALSE,0.1,TRUE,3,30,,N
C9,SCr-382-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.51502228,34.28949738,0.370352894,50.98201752,59.87685013,14.74978638,FALSE,0.1,TRUE,3,31,,N
C10,SCr-337,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.45514107,31.54290009,0.195547134,349.9625549,332.7897644,39.52184296,FALSE,0.1,TRUE,3,27,,N
C11,SCr-337,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.40660858,31.54290009,0.195547134,360.8202515,332.7897644,39.52184296,FALSE,0.1,TRUE,3,26,,N
C12,SCr-337,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.76695442,31.54290009,0.195547134,287.5864563,332.7897644,39.52184296,FALSE,0.1,TRUE,3,28,,N
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.97808075,29.97896767,0.215650022,1000,,,FALSE,0.1,TRUE,3,26,,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.76376343,29.97896767,0.215650022,1000,,,FALSE,0.1,TRUE,3,26,,N
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.19506073,29.97896767,0.215650022,1000,,,FALSE,0.1,TRUE,3,26,,N
D4,SCr-331,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N
D5,SCr-331,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,Y
D6,SCr-331,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N
D7,SCr-331-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N
D8,SCr-331-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N
D9,SCr-331-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N
D10,SCr-337-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.83840942,32.50845718,0.289974838,146.4944153,182.2625732,31.59368324,FALSE,0.1,TRUE,3,29,,N
D11,SCr-337-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.39283371,32.50845718,0.289974838,193.9305725,182.2625732,31.59368324,FALSE,0.1,TRUE,3,29,,N
D12,SCr-337-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.29413605,32.50845718,0.289974838,206.3627472,182.2625732,31.59368324,FALSE,0.1,TRUE,3,28,,N
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,32.44801331,32.6556778,0.184839219,100,,,FALSE,0.1,TRUE,3,29,,N
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,32.71682358,32.6556778,0.184839219,100,,,FALSE,0.1,TRUE,3,28,,N
E3,,O.mykiss,STANDARD,FAM,NFQ-MGB,32.8021965,32.6556778,0.184839219,100,,,FALSE,0.1,TRUE,3,29,,N
