Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201005_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-05 11:34:47 AM PDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,OUTLIERRG
D8,SCr-214-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.62305069,30.58499718,0.206605583,234.5464172,242.2818604,34.51185608,FALSE,0.1,TRUE,3,28,,N,N
D9,SCr-214-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.76993179,30.58499718,0.206605583,212.2941742,242.2818604,34.51185608,FALSE,0.1,TRUE,3,27,,N,N
D10,SCr-220-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.46159744,32.63905716,0.314954847,67.35163879,60.58496475,12.06825161,FALSE,0.1,TRUE,3,29,,N,N
D11,SCr-220-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.45287323,32.63905716,0.314954847,67.75159454,60.58496475,12.06825161,FALSE,0.1,TRUE,3,29,,N,N
D12,SCr-220-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.00270081,32.63905716,0.314954847,46.65166092,60.58496475,12.06825161,FALSE,0.1,TRUE,3,30,,N,Y
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,31.60809326,31.88555336,0.250045657,100,,,FALSE,0.1,TRUE,3,28,,N,N
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,31.95510864,31.88555336,0.250045657,100,,,FALSE,0.1,TRUE,3,29,,N,N
E3,,O.mykiss,STANDARD,FAM,NFQ-MGB,32.09345627,31.88555336,0.250045657,100,,,FALSE,0.1,TRUE,3,28,,N,N
E4,SCr-215,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.76756477,29.82600594,0.055880677,419.1493835,403.0438538,15.32456779,FALSE,0.1,TRUE,3,27,,N,N
E5,SCr-215,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.83154488,29.82600594,0.055880677,401.339386,403.0438538,15.32456779,FALSE,0.1,TRUE,3,27,,N,N
E6,SCr-215,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.87891388,29.82600594,0.055880677,388.6427612,403.0438538,15.32456779,FALSE,0.1,TRUE,3,26,,N,N
E7,SCr-215-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.53812599,32.10689926,0.500653684,126.0450516,89.1977005,32.19888687,FALSE,0.1,TRUE,3,28,,Y,N
E8,SCr-215-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.30168915,32.10689926,0.500653684,75.07208252,89.1977005,32.19888687,FALSE,0.1,TRUE,3,29,,Y,N
E9,SCr-215-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.48088074,32.10689926,0.500653684,66.47598267,89.1977005,32.19888687,FALSE,0.1,TRUE,3,29,,Y,N
E10,SCr-221,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.17595482,29.25074768,0.078146294,626.2329102,595.7965088,31.48524857,FALSE,0.1,TRUE,3,25,,N,N
E11,SCr-221,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.24442673,29.25074768,0.078146294,597.798645,595.7965088,31.48524857,FALSE,0.1,TRUE,3,27,,N,N
E12,SCr-221,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.3318634,29.25074768,0.078146294,563.3579712,595.7965088,31.48524857,FALSE,0.1,TRUE,3,26,,N,N
F1,,O.mykiss,STANDARD,FAM,NFQ-MGB,34.92685699,35.56126022,0.712193489,10,,,FALSE,0.1,TRUE,3,31,,Y,N
F2,,O.mykiss,STANDARD,FAM,NFQ-MGB,36.33163834,35.56126022,0.712193489,10,,,FALSE,0.1,TRUE,3,33,,Y,N
F3,,O.mykiss,STANDARD,FAM,NFQ-MGB,35.42528534,35.56126022,0.712193489,10,,,FALSE,0.1,TRUE,3,32,,Y,N
F4,SCr-216,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.39632988,29.5003891,0.147578374,539.2424316,504.1264954,49.07011795,FALSE,0.1,TRUE,3,27,,N,N
F5,SCr-216,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.66928673,29.5003891,0.147578374,448.0584106,504.1264954,49.07011795,FALSE,0.1,TRUE,3,27,,N,N
F6,SCr-216,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.43555069,29.5003891,0.147578374,525.0786743,504.1264954,49.07011795,FALSE,0.1,TRUE,3,25,,N,N
F7,SCr-216-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.24398041,31.0660038,0.237129092,153.8934937,175.1922455,29.18326569,FALSE,0.1,TRUE,3,28,,N,N
F8,SCr-216-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.15722084,31.0660038,0.237129092,163.2266846,175.1922455,29.18326569,FALSE,0.1,TRUE,3,28,,N,N
F9,SCr-216-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.79681206,31.0660038,0.237129092,208.4565582,175.1922455,29.18326569,FALSE,0.1,TRUE,3,27,,N,N
F10,SCr-221-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.08725357,30.96304321,0.14928104,171.1641693,186.8637848,19.26980591,FALSE,0.1,TRUE,3,28,,N,N
