Protocol,Start Date,Start Date (Julian),Sample Start Date,Sample Start Date (Julian),Sample End Date,Sample End Date (Julian),Time To Sample (hh:mm:ss),Target Volume (ml),Actual Volume (ml),Difference (ml),Lab_Field,Extract_Abbr,Extract_No,Extract_ID
bac wcr,2019-04-20 11:44:35 -07:00,110.49,2019-04-20 11:50:14 -07:00,110.49,2019-04-20 12:34:57 -07:00,110.52,0:44:43,2000,650,1350,deployed,SCr,81,SCr-81
bac wcr,2019-04-20 17:44:34 -07:00,110.74,2019-04-20 17:50:13 -07:00,110.74,2019-04-20 18:33:14 -07:00,110.77,0:43:01,2000,575,1425,deployed,SCr,82,SCr-82
bac wcr,2019-04-21 06:04:37 -07:00,111.25,2019-04-21 06:10:15 -07:00,111.26,2019-04-21 06:41:53 -07:00,111.28,0:31:37,2000,300,1700,deployed,SCr,83,SCr-83
bac wcr,2019-04-21 12:04:45 -07:00,111.5,2019-04-21 12:10:22 -07:00,111.51,2019-04-21 13:01:32 -07:00,111.54,0:51:09,2000,700.1,1299.9,deployed,SCr,84,SCr-84
bac wcr,2019-04-21 18:04:36 -07:00,111.75,2019-04-21 18:10:14 -07:00,111.76,2019-04-21 18:47:16 -07:00,111.78,0:37:02,2000,800,1200,deployed,SCr,85,SCr-85
bac wcr,2019-04-22 06:04:39 -07:00,112.25,2019-04-22 06:10:17 -07:00,112.26,2019-04-22 06:47:50 -07:00,112.28,0:37:33,2000,675,1325,deployed,SCr,86,SCr-86
bac wcr,2019-04-22 12:04:35 -07:00,112.5,2019-04-22 12:10:12 -07:00,112.51,2019-04-22 12:57:05 -07:00,112.54,0:46:53,2000,450,1550,deployed,SCr,87,SCr-87
bac wcr,2019-04-22 18:04:36 -07:00,112.75,2019-04-22 18:10:14 -07:00,112.76,2019-04-22 19:01:13 -07:00,112.79,0:50:59,2000,850.1,1149.9,deployed,SCr,88,SCr-88
bac wcr,2019-04-23 06:04:38 -07:00,113.25,2019-04-23 06:10:16 -07:00,113.26,2019-04-23 06:45:11 -07:00,113.28,0:34:54,2000,349.9,1650.1,deployed,SCr,89,SCr-89
bac wcr,2019-04-23 12:04:38 -07:00,113.5,2019-04-23 12:10:16 -07:00,113.51,2019-04-23 13:06:23 -07:00,113.55,0:56:06,2000,825.1,1174.9,deployed,SCr,90,SCr-90
bac wcr,2019-04-23 18:04:36 -07:00,113.75,2019-04-23 18:10:14 -07:00,113.76,2019-04-23 19:05:27 -07:00,113.8,0:55:13,2000,875.1,1124.9,deployed,SCr,91,SCr-91
bac wcr,2019-04-24 06:04:39 -07:00,114.25,2019-04-24 06:10:17 -07:00,114.26,2019-04-24 06:55:54 -07:00,114.29,0:45:36,2000,699.9,1300.1,deployed,SCr,92,SCr-92
bac wcr,2019-04-24 12:04:37 -07:00,114.5,2019-04-24 12:10:16 -07:00,114.51,2019-04-24 13:00:01 -07:00,114.54,0:49:44,2000,775.1,1224.9,deployed,SCr,93,SCr-93
bac wcr,2019-04-24 18:04:36 -07:00,114.75,2019-04-24 18:10:17 -07:00,114.76,2019-04-24 19:03:09 -07:00,114.79,0:52:52,2000,850.1,1149.9,deployed,SCr,94,SCr-94
bac wcr,2019-04-25 06:04:49 -07:00,115.25,2019-04-25 06:10:28 -07:00,115.26,2019-04-25 06:58:27 -07:00,115.29,0:47:59,2000,400,1600,deployed,SCr,95,SCr-95
bac wcr,2019-04-25 12:04:33 -07:00,115.5,2019-04-25 12:10:13 -07:00,115.51,2019-04-25 12:56:39 -07:00,115.54,0:46:26,2000,800.1,1199.9,deployed,SCr,96,SCr-96
bac wcr,2019-04-25 18:03:58 -07:00,115.75,2019-04-25 18:09:36 -07:00,115.76,2019-04-25 19:01:22 -07:00,115.79,0:51:45,2000,825,1175,deployed,SCr,97,SCr-97
bac wcr,2019-04-26 06:04:42 -07:00,116.25,2019-04-26 06:10:24 -07:00,116.26,2019-04-26 06:53:58 -07:00,116.29,0:43:34,2000,750,1250,deployed,SCr,98,SCr-98
bac wcr,2019-04-26 12:04:43 -07:00,116.5,2019-04-26 12:10:23 -07:00,116.51,2019-04-26 12:56:49 -07:00,116.54,0:46:26,2000,850,1150,deployed,SCr,99,SCr-99
bac wcr,2019-04-26 18:04:37 -07:00,116.75,2019-04-26 18:10:16 -07:00,116.76,2019-04-26 19:03:30 -07:00,116.79,0:53:14,2000,875.1,1124.9,deployed,SCr,100,SCr-100
bac wcr,2019-04-27 05:44:40 -07:00,117.24,2019-04-27 05:50:19 -07:00,117.24,2019-04-27 06:38:17 -07:00,117.28,0:47:57,2000,400,1600,deployed,SCr,101,SCr-101
bac wcr,2019-04-27 11:44:33 -07:00,117.49,2019-04-27 11:50:12 -07:00,117.49,2019-04-27 12:37:00 -07:00,117.53,0:46:47,2000,825.1,1174.9,deployed,SCr,102,SCr-102
bac wcr,2019-04-27 17:44:39 -07:00,117.74,2019-04-27 17:50:18 -07:00,117.74,2019-04-27 18:35:27 -07:00,117.77,0:45:09,2000,800.1,1199.9,deployed,SCr,103,SCr-103
bac wcr,2019-04-28 05:44:51 -07:00,118.24,2019-04-28 05:50:32 -07:00,118.24,2019-04-28 06:36:17 -07:00,118.28,0:45:45,2000,825,1175,deployed,SCr,104,SCr-104
bac wcr,2019-04-28 11:44:34 -07:00,118.49,2019-04-28 11:50:18 -07:00,118.49,2019-04-28 12:45:18 -07:00,118.53,0:55:00,2000,825.1,1174.9,deployed,SCr,105,SCr-105
bac wcr,2019-04-28 17:44:31 -07:00,118.74,2019-04-28 17:50:11 -07:00,118.74,2019-04-28 18:41:34 -07:00,118.78,0:51:23,2000,1000.1,999.9,deployed,SCr,106,SCr-106
bac wcr,2019-04-29 06:04:41 -07:00,119.25,2019-04-29 06:10:21 -07:00,119.26,2019-04-29 06:58:56 -07:00,119.29,0:48:34,2000,525,1475,deployed,SCr,107,SCr-107
bac wcr,2019-04-29 12:04:36 -07:00,119.5,2019-04-29 12:10:15 -07:00,119.51,2019-04-29 12:52:23 -07:00,119.54,0:42:07,2000,700.1,1299.9,deployed,SCr,108,SCr-108
bac wcr,2019-04-29 18:04:35 -07:00,119.75,2019-04-29 18:10:15 -07:00,119.76,2019-04-29 18:50:56 -07:00,119.79,0:40:41,2000,925.1,1074.9,deployed,SCr,109,SCr-109
bac wcr,2019-04-30 06:04:40 -07:00,120.25,2019-04-30 06:10:21 -07:00,120.26,2019-04-30 06:50:15 -07:00,120.28,0:39:54,2000,700.1,1299.9,deployed,SCr,110,SCr-110
bac wcr,2019-04-30 12:04:35 -07:00,120.5,2019-04-30 12:10:15 -07:00,120.51,2019-04-30 13:05:50 -07:00,120.55,0:55:35,2000,900.1,1099.9,deployed,SCr,111,SCr-111
bac wcr,2019-04-30 18:04:48 -07:00,120.75,2019-04-30 18:10:28 -07:00,120.76,2019-04-30 19:05:09 -07:00,120.8,0:54:41,2000,975.1,1024.9,deployed,SCr,112,SCr-112
bac wcr,2019-05-01 06:04:42 -07:00,121.25,2019-05-01 06:10:22 -07:00,121.26,2019-05-01 06:58:08 -07:00,121.29,0:47:45,2000,800,1200,deployed,SCr,113,SCr-113
bac wcr,2019-05-01 12:04:38 -07:00,121.5,2019-05-01 12:10:22 -07:00,121.51,2019-05-01 13:01:30 -07:00,121.54,0:51:08,2000,725,1275,deployed,SCr,114,SCr-114
bac wcr,2019-05-01 18:04:39 -07:00,121.75,2019-05-01 18:10:19 -07:00,121.76,2019-05-01 18:59:52 -07:00,121.79,0:49:32,2000,975.1,1024.9,deployed,SCr,115,SCr-115
bac wcr,2019-05-02 06:04:42 -07:00,122.25,2019-05-02 06:10:23 -07:00,122.26,2019-05-02 07:01:12 -07:00,122.29,0:50:48,2000,950,1050,deployed,SCr,116,SCr-116
bac wcr,2019-05-02 12:04:38 -07:00,122.5,2019-05-02 12:10:20 -07:00,122.51,2019-05-02 13:10:07 -07:00,122.55,0:59:46,2000,975.1,1024.9,deployed,SCr,117,SCr-117
bac wcr,2019-05-02 18:04:39 -07:00,122.75,2019-05-02 18:10:20 -07:00,122.76,2019-05-02 18:47:48 -07:00,122.78,0:37:28,2000,825.1,1174.9,deployed,SCr,118,SCr-118
bac wcr,2019-05-03 06:04:44 -07:00,123.25,2019-05-03 06:10:24 -07:00,123.26,2019-05-03 06:50:53 -07:00,123.29,0:40:28,2000,325,1675,deployed,SCr,119,SCr-119
bac wcr,2019-05-03 12:04:38 -07:00,123.5,2019-05-03 12:10:19 -07:00,123.51,2019-05-03 13:03:15 -07:00,123.54,0:52:56,2000,900.1,1099.9,deployed,SCr,120,SCr-120
bac wcr,2019-05-03 18:04:09 -07:00,123.75,2019-05-03 18:10:00 -07:00,123.76,2019-05-03 18:57:37 -07:00,123.79,0:47:36,2000,875.1,1124.9,deployed,SCr,121,SCr-121
bac wcr,2019-05-04 06:04:41 -07:00,124.25,2019-05-04 06:10:23 -07:00,124.26,2019-05-04 06:54:44 -07:00,124.29,0:44:21,2000,750,1250,deployed,SCr,122,SCr-122
bac wcr,2019-05-04 12:04:38 -07:00,124.5,2019-05-04 12:10:29 -07:00,124.51,2019-05-04 13:02:00 -07:00,124.54,0:51:31,2000,850,1150,deployed,SCr,123,SCr-123
bac wcr,2019-05-04 18:04:43 -07:00,124.75,2019-05-04 18:10:24 -07:00,124.76,2019-05-04 19:04:57 -07:00,124.8,0:54:33,2000,925.1,1074.9,deployed,SCr,124,SCr-124
bac wcr,2019-05-05 06:04:42 -07:00,125.25,2019-05-05 06:10:25 -07:00,125.26,2019-05-05 07:05:44 -07:00,125.3,0:55:18,2000,475,1525,deployed,SCr,125,SCr-125
bac wcr,2019-05-05 12:04:37 -07:00,125.5,2019-05-05 12:10:28 -07:00,125.51,2019-05-05 13:09:22 -07:00,125.55,0:58:54,2000,950.1,1049.9,deployed,SCr,126,SCr-126
bac wcr,2019-05-05 18:04:48 -07:00,125.75,2019-05-05 18:10:28 -07:00,125.76,2019-05-05 19:08:02 -07:00,125.8,0:57:34,2000,925.1,1074.9,deployed,SCr,127,SCr-127
bac wcr,2019-05-06 05:54:42 -07:00,126.25,2019-05-06 06:00:23 -07:00,126.25,2019-05-06 06:44:02 -07:00,126.28,0:43:38,2000,800,1200,deployed,SCr,128,SCr-128
bac wcr,2020-02-03 15:45:30 -08:00,34.66,2020-02-03 15:56:01 -08:00,34.66,2020-02-03 16:01:05 -08:00,34.67,0:05:03,250,250,0,control,SCr,594,SCr-594
bac wcr,2020-02-03 19:00:19 -08:00,34.79,2020-02-03 19:10:50 -08:00,34.8,2020-02-03 19:16:09 -08:00,34.8,0:05:19,250,250,0,control,SCr,595,SCr-595
bac wcr,2020-02-03 22:00:19 -08:00,34.92,2020-02-03 22:10:50 -08:00,34.92,2020-02-03 22:16:09 -08:00,34.93,0:05:19,250,250,0,control,SCr,596,SCr-596
