sample_mid,sample_wake,sample_start,sample_end,sample_duration,vol_target,vol_actual,vol_diff,lab_field,id,ESP,log_file,sample_rate,date,hour,morn_midday_eve,deployment
2019-04-04 04:36:00,2019-04-04 04:24:43,2019-04-04 04:30:17,2019-04-04 04:41:44,11.45,2000,391.6,1608.4,deployed,SCr-32,Waldo,Waldo_2019_Scott_Creek_20210223.csv,34.20087336244542,2019-04-04,5,0,1
2019-04-04 10:14:24,2019-04-04 10:04:26,2019-04-04 10:10:00,2019-04-04 10:18:48,8.8,2000,296.5,1703.5,deployed,SCr-33,Waldo,Waldo_2019_Scott_Creek_20210223.csv,33.69318181818181,2019-04-04,10,0,1
2019-04-04 16:18:32,2019-04-04 16:04:41,2019-04-04 16:10:14,2019-04-04 16:26:50,16.58,2000,346.2,1653.8,deployed,SCr-34,Waldo,Waldo_2019_Scott_Creek_20210223.csv,20.880579010856454,2019-04-04,16,1,1
2019-04-05 05:16:48,2019-04-05 05:04:37,2019-04-05 05:10:12,2019-04-05 05:23:24,13.18,2000,200.0,1800.0,deployed,SCr-35,Waldo,Waldo_2019_Scott_Creek_20210223.csv,15.174506828528074,2019-04-05,5,0,1
2019-04-05 11:16:47,2019-04-05 11:04:32,2019-04-05 11:10:07,2019-04-05 11:23:27,13.33,2000,346.6,1653.4,deployed,SCr-36,Waldo,Waldo_2019_Scott_Creek_20210223.csv,26.001500375093777,2019-04-05,11,1,1
2019-04-05 17:15:00,2019-04-05 17:04:32,2019-04-05 17:10:07,2019-04-05 17:19:55,9.78,2000,300.0,1700.0,deployed,SCr-37,Waldo,Waldo_2019_Scott_Creek_20210223.csv,30.67484662576687,2019-04-05,17,2,1
2019-04-06 05:18:29,2019-04-06 05:04:36,2019-04-06 05:10:10,2019-04-06 05:26:48,16.63,2000,446.4,1553.6,deployed,SCr-38,Waldo,Waldo_2019_Scott_Creek_20210223.csv,26.843054720384846,2019-04-06,5,0,1
2019-04-06 11:18:15,2019-04-06 11:04:31,2019-04-06 11:10:15,2019-04-06 11:26:16,16.0,2000,400.0,1600.0,deployed,SCr-39,Waldo,Waldo_2019_Scott_Creek_20210223.csv,25.0,2019-04-06,11,1,1
2019-04-06 17:15:52,2019-04-06 17:04:08,2019-04-06 17:09:43,2019-04-06 17:22:03,12.32,2000,425.0,1575.0,deployed,SCr-40,Waldo,Waldo_2019_Scott_Creek_20210223.csv,34.496753246753244,2019-04-06,17,2,1
2019-04-07 05:15:18,2019-04-07 05:04:35,2019-04-07 05:10:11,2019-04-07 05:20:24,10.22,2000,200.0,1800.0,deployed,SCr-41,Waldo,Waldo_2019_Scott_Creek_20210223.csv,19.569471624266143,2019-04-07,5,0,1
2019-04-07 11:18:20,2019-04-07 11:04:33,2019-04-07 11:10:17,2019-04-07 11:26:25,16.12,2000,375.0,1625.0,deployed,SCr-42,Waldo,Waldo_2019_Scott_Creek_20210223.csv,23.263027295285358,2019-04-07,11,1,1
2019-04-07 17:17:10,2019-04-07 17:04:42,2019-04-07 17:10:17,2019-04-07 17:24:04,13.77,2000,399.8,1600.2,deployed,SCr-43,Waldo,Waldo_2019_Scott_Creek_20210223.csv,29.034132171387075,2019-04-07,17,2,1
2019-04-08 05:17:05,2019-04-08 05:04:35,2019-04-08 05:10:11,2019-04-08 05:24:00,13.8,2000,375.0,1625.0,deployed,SCr-44,Waldo,Waldo_2019_Scott_Creek_20210223.csv,27.173913043478258,2019-04-08,5,0,1
2019-04-08 11:08:39,2019-04-08 10:54:33,2019-04-08 11:00:08,2019-04-08 11:17:11,17.03,2000,450.0,1550.0,deployed,SCr-45,Waldo,Waldo_2019_Scott_Creek_20210223.csv,26.423957721667644,2019-04-08,11,1,1
