"Plot Title: UNF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993)","Host Connected (LGR S/N: 9668993)","End Of File (LGR S/N: 9668993)"
209,03/26/20 05:52:24 PM,,0.59,,,
210,03/26/20 06:00:00 PM,45.466,,,,
211,03/26/20 07:00:00 PM,44.742,,,,
212,03/26/20 08:00:00 PM,43.466,,,,
213,03/26/20 09:00:00 PM,41.994,,,,
214,03/26/20 10:00:00 PM,41.067,,,,
215,03/26/20 11:00:00 PM,40.881,,,,
216,03/27/20 12:00:00 AM,40.509,,,,
217,03/27/20 12:45:29 AM,,0.60,,,
218,03/27/20 01:00:00 AM,40.696,,,,
219,03/27/20 02:00:00 AM,40.881,,,,
220,03/27/20 03:00:00 AM,40.509,,,,
221,03/27/20 04:00:00 AM,40.509,,,,
222,03/27/20 05:00:00 AM,40.696,,,,
223,03/27/20 06:00:00 AM,41.254,,,,
224,03/27/20 07:00:00 AM,40.881,,,,
225,03/27/20 08:00:00 AM,41.067,,,,
226,03/27/20 09:00:00 AM,43.466,,,,
227,03/27/20 10:00:00 AM,46.728,,,,
228,03/27/20 11:00:00 AM,50.113,,,,
229,03/27/20 12:00:00 PM,53.100,,,,
230,03/27/20 01:00:00 PM,64.996,,,,
231,03/27/20 02:00:00 PM,59.508,,,,
232,03/27/20 03:00:00 PM,56.230,,,,
233,03/27/20 04:00:00 PM,57.096,,,,
234,03/27/20 05:00:00 PM,53.449,,,,
235,03/27/20 06:00:00 PM,52.225,,,,
236,03/27/20 07:00:00 PM,49.404,,,,
237,03/27/20 08:00:00 PM,47.446,,,,
238,03/27/20 09:00:00 PM,45.648,,,,
239,03/27/20 10:00:00 PM,45.466,,,,
240,03/27/20 11:00:00 PM,45.648,,,,
241,03/28/20 12:00:00 AM,45.828,,,,
242,03/28/20 01:00:00 AM,44.742,,,,
243,03/28/20 02:00:00 AM,44.560,,,,
244,03/28/20 03:00:00 AM,45.466,,,,
245,03/28/20 04:00:00 AM,45.828,,,,
246,03/28/20 05:00:00 AM,45.828,,,,
247,03/28/20 06:00:00 AM,46.008,,,,
248,03/28/20 07:00:00 AM,46.188,,,,
249,03/28/20 07:45:48 AM,,0.61,,,
250,03/28/20 08:00:00 AM,46.728,,,,
251,03/28/20 08:27:27 AM,,0.62,,,
252,03/28/20 09:00:00 AM,48.339,,,,
253,03/28/20 10:00:00 AM,51.874,,,,
254,03/28/20 11:00:00 AM,53.449,,,,
255,03/28/20 12:00:00 PM,56.923,,,,
256,03/28/20 01:00:00 PM,55.364,,,,
257,03/28/20 02:00:00 PM,58.820,,,,
258,03/28/20 03:00:00 PM,60.024,,,,
259,03/28/20 04:00:00 PM,56.230,,,,
260,03/28/20 05:00:00 PM,55.364,,,,
261,03/28/20 05:47:41 PM,,0.63,,,
262,03/28/20 06:00:00 PM,52.050,,,,
263,03/28/20 07:00:00 PM,50.643,,,,
264,03/28/20 08:00:00 PM,49.050,,,,
265,03/28/20 08:21:10 PM,,0.64,,,
266,03/28/20 09:00:00 PM,47.624,,,,
267,03/28/20 10:00:00 PM,46.908,,,,
268,03/28/20 11:00:00 PM,46.548,,,,
269,03/29/20 12:00:00 AM,46.548,,,,
270,03/29/20 01:00:00 AM,46.728,,,,
271,03/29/20 02:00:00 AM,46.908,,,,
272,03/29/20 03:00:00 AM,47.266,,,,
273,03/29/20 03:57:46 AM,,0.65,,,
274,03/29/20 04:00:00 AM,47.266,,,,
275,03/29/20 04:04:48 AM,,0.66,,,
276,03/29/20 04:15:38 AM,,0.67,,,
277,03/29/20 04:23:56 AM,,0.68,,,
278,03/29/20 05:00:00 AM,47.446,,,,
279,03/29/20 06:00:00 AM,47.624,,,,
280,03/29/20 07:00:00 AM,47.802,,,,
281,03/29/20 07:26:11 AM,,0.69,,,
282,03/29/20 07:53:55 AM,,0.70,,,
283,03/29/20 08:00:00 AM,48.517,,,,
284,03/29/20 08:07:47 AM,,0.71,,,
285,03/29/20 09:00:00 AM,49.937,,,,
286,03/29/20 09:28:02 AM,,0.72,,,
287,03/29/20 10:00:00 AM,51.523,,,,
288,03/29/20 11:00:00 AM,54.322,,,,
289,03/29/20 12:00:00 PM,55.017,,,,
290,03/29/20 01:00:00 PM,58.476,,,,
291,03/29/20 02:00:00 PM,56.923,,,,
292,03/29/20 03:00:00 PM,56.230,,,,
293,03/29/20 04:00:00 PM,54.842,,,,
294,03/29/20 05:00:00 PM,55.884,,,,
295,03/29/20 06:00:00 PM,54.669,,,,
296,03/29/20 07:00:00 PM,53.274,,,,
297,03/29/20 08:00:00 PM,50.466,,,,
298,03/29/20 09:00:00 PM,47.982,,,,
299,03/29/20 10:00:00 PM,47.088,,,,
300,03/29/20 11:00:00 PM,46.369,,,,
301,03/30/20 12:00:00 AM,46.369,,,,
302,03/30/20 01:00:00 AM,45.286,,,,
303,03/30/20 02:00:00 AM,44.560,,,,
304,03/30/20 03:00:00 AM,44.560,,,,
305,03/30/20 04:00:00 AM,46.008,,,,
306,03/30/20 05:00:00 AM,46.908,,,,
307,03/30/20 06:00:00 AM,47.266,,,,
308,03/30/20 07:00:00 AM,47.446,,,,
309,03/30/20 08:00:00 AM,46.548,,,,
310,03/30/20 09:00:00 AM,47.446,,,,
311,03/30/20 10:00:00 AM,49.937,,,,
312,03/30/20 11:00:00 AM,56.404,,,,
313,03/30/20 12:00:00 PM,61.569,,,,
314,03/30/20 01:00:00 PM,74.619,,,,
315,03/30/20 02:00:00 PM,62.083,,,,
316,03/30/20 03:00:00 PM,60.195,,,,
317,03/30/20 04:00:00 PM,62.425,,,,
318,03/30/20 05:00:00 PM,59.164,,,,
319,03/30/20 06:00:00 PM,54.669,,,,
320,03/30/20 07:00:00 PM,52.750,,,,
321,03/30/20 08:00:00 PM,50.643,,,,
322,03/30/20 09:00:00 PM,49.050,,,,
323,03/30/20 10:00:00 PM,48.695,,,,
324,03/30/20 11:00:00 PM,48.339,,,,
325,03/31/20 12:00:00 AM,47.802,,,,
326,03/31/20 01:00:00 AM,47.266,,,,
327,03/31/20 02:00:00 AM,46.908,,,,
328,03/31/20 03:00:00 AM,46.188,,,,
329,03/31/20 04:00:00 AM,45.648,,,,
330,03/31/20 05:00:00 AM,45.104,,,,
331,03/31/20 06:00:00 AM,45.104,,,,
332,03/31/20 07:00:00 AM,44.922,,,,
333,03/31/20 08:00:00 AM,45.286,,,,
334,03/31/20 09:00:00 AM,47.802,,,,
335,03/31/20 10:00:00 AM,52.225,,,,
336,03/31/20 11:00:00 AM,57.441,,,,
337,03/31/20 12:00:00 PM,67.564,,,,
338,03/31/20 01:00:00 PM,78.624,,,,
339,03/31/20 02:00:00 PM,67.221,,,,
340,03/31/20 03:00:00 PM,66.366,,,,
341,03/31/20 04:00:00 PM,71.339,,,,
342,03/31/20 05:00:00 PM,68.077,,,,
343,03/31/20 06:00:00 PM,62.940,,,,
344,03/31/20 07:00:00 PM,58.993,,,,
345,03/31/20 08:00:00 PM,55.537,,,,
346,03/31/20 09:00:00 PM,52.576,,,,
347,03/31/20 10:00:00 PM,50.643,,,,
348,03/31/20 11:00:00 PM,49.050,,,,
349,04/01/20 12:00:00 AM,48.160,,,,
350,04/01/20 01:00:00 AM,48.160,,,,
351,04/01/20 02:00:00 AM,47.446,,,,
352,04/01/20 03:00:00 AM,46.728,,,,
353,04/01/20 04:00:00 AM,45.466,,,,
354,04/01/20 05:00:00 AM,44.013,,,,
355,04/01/20 06:00:00 AM,43.099,,,,
356,04/01/20 07:00:00 AM,42.915,,,,
357,04/01/20 08:00:00 AM,42.915,,,,
358,04/01/20 09:00:00 AM,46.008,,,,
359,04/01/20 10:00:00 AM,50.995,,,,
360,04/01/20 11:00:00 AM,54.322,,,,
361,04/01/20 12:00:00 PM,64.310,,,,
362,04/01/20 01:00:00 PM,75.832,,,,
363,04/01/20 02:00:00 PM,64.310,,,,
364,04/01/20 03:00:00 PM,61.398,,,,
365,04/01/20 04:00:00 PM,64.310,,,,
366,04/01/20 05:00:00 PM,58.476,,,,
367,04/01/20 06:00:00 PM,52.225,,,,
368,04/01/20 07:00:00 PM,49.050,,,,
369,04/01/20 08:00:00 PM,46.548,,,,
370,04/01/20 09:00:00 PM,44.742,,,,
371,04/01/20 10:00:00 PM,43.648,,,,
372,04/01/20 11:00:00 PM,43.099,,,,
373,04/02/20 12:00:00 AM,41.439,,,,
374,04/02/20 01:00:00 AM,40.881,,,,
375,04/02/20 02:00:00 AM,41.625,,,,
376,04/02/20 03:00:00 AM,41.994,,,,
377,04/02/20 04:00:00 AM,41.254,,,,
378,04/02/20 05:00:00 AM,40.881,,,,
379,04/02/20 06:00:00 AM,40.509,,,,
380,04/02/20 07:00:00 AM,39.573,,,,
381,04/02/20 08:00:00 AM,39.947,,,,
382,04/02/20 09:00:00 AM,43.099,,,,
383,04/02/20 10:00:00 AM,48.695,,,,
384,04/02/20 11:00:00 AM,54.842,,,,
385,04/02/20 12:00:00 PM,68.248,,,,
386,04/02/20 01:00:00 PM,79.326,,,,
387,04/02/20 02:00:00 PM,66.708,,,,
388,04/02/20 03:00:00 PM,63.968,,,,
389,04/02/20 04:00:00 PM,66.708,,,,
390,04/02/20 05:00:00 PM,60.368,,,,
391,04/02/20 06:00:00 PM,55.017,,,,
392,04/02/20 07:00:00 PM,51.699,,,,
393,04/02/20 08:00:00 PM,48.339,,,,
394,04/02/20 09:00:00 PM,44.922,,,,
395,04/02/20 10:00:00 PM,43.282,,,,
396,04/02/20 11:00:00 PM,43.099,,,,
397,04/03/20 12:00:00 AM,42.179,,,,
398,04/03/20 01:00:00 AM,41.439,,,,
399,04/03/20 02:00:00 AM,41.067,,,,
400,04/03/20 03:00:00 AM,40.881,,,,
