Protocol,Start Date,Start Date (Julian),Sample Start Date,Sample Start Date (Julian),Sample End Date,Sample End Date (Julian),Time To Sample (hh:mm:ss),Target Volume (ml),Actual Volume (ml),Difference (ml),Lab_Field,Extract_Abbr,Extract_No,Extract_ID
bac wcr,2019-10-07 05:24:38 -07:00,280.23,2019-10-07 05:35:14 -07:00,280.23,2019-10-07 06:43:46 -07:00,280.28,1:08:31,2000,925,1075,deployed,SCr,381,SCr-381
bac wcr,2019-10-08 06:04:50 -07:00,281.25,2019-10-08 06:15:26 -07:00,281.26,2019-10-08 07:19:43 -07:00,281.31,1:04:17,2000,875,1125,deployed,SCr,382,SCr-382
bac wcr,2019-10-09 06:04:44 -07:00,282.25,2019-10-09 06:15:20 -07:00,282.26,2019-10-09 07:18:37 -07:00,282.3,1:03:16,2000,875.1,1124.9,deployed,SCr,383,SCr-383
bac wcr,2019-10-10 06:04:55 -07:00,283.25,2019-10-10 06:15:32 -07:00,283.26,2019-10-10 07:18:26 -07:00,283.3,1:02:54,2000,850,1150,deployed,SCr,384,SCr-384
bac wcr,2019-10-11 05:54:42 -07:00,284.25,2019-10-11 06:05:18 -07:00,284.25,2019-10-11 07:15:31 -07:00,284.3,1:10:12,2000,925,1075,deployed,SCr,385,SCr-385
bac wcr,2019-10-12 05:54:42 -07:00,285.25,2019-10-12 06:05:19 -07:00,285.25,2019-10-12 07:15:30 -07:00,285.3,1:10:10,2000,925,1075,deployed,SCr,386,SCr-386
bac wcr,2019-10-13 06:04:51 -07:00,286.25,2019-10-13 06:15:28 -07:00,286.26,2019-10-13 07:25:06 -07:00,286.31,1:09:38,2000,1150,850,deployed,SCr,387,SCr-387
bac wcr,2019-10-14 06:04:43 -07:00,287.25,2019-10-14 06:15:31 -07:00,287.26,2019-10-14 07:20:28 -07:00,287.31,1:04:56,2000,1300.1,699.9,deployed,SCr,388,SCr-388
bac wcr,2019-10-15 06:04:42 -07:00,288.25,2019-10-15 06:15:20 -07:00,288.26,2019-10-15 07:26:21 -07:00,288.31,1:11:01,2000,1350.1,649.9,deployed,SCr,389,SCr-389
bac wcr,2019-10-16 06:04:42 -07:00,289.25,2019-10-16 06:15:18 -07:00,289.26,2019-10-16 07:26:12 -07:00,289.31,1:10:53,2000,1324.7,675.3,deployed,SCr,390,SCr-390
bac wcr,2019-10-17 06:04:38 -07:00,290.25,2019-10-17 14:45:13 -07:00,290.61,2019-10-17 15:44:01 -07:00,290.66,0:58:47,2000,900,1100,deployed,SCr,391,SCr-391
bac wcr,2019-10-18 06:04:39 -07:00,291.25,2019-10-18 06:15:16 -07:00,291.26,2019-10-18 07:11:16 -07:00,291.3,0:56:00,2000,1275.1,724.9,deployed,SCr,392,SCr-392
bac wcr,2019-10-19 06:04:50 -07:00,292.25,2019-10-19 06:15:28 -07:00,292.26,2019-10-19 07:17:18 -07:00,292.3,1:01:49,2000,1300.1,699.9,deployed,SCr,393,SCr-393
bac wcr,2019-10-20 06:04:48 -07:00,293.25,2019-10-20 06:15:26 -07:00,293.26,2019-10-20 07:12:51 -07:00,293.3,0:57:25,2000,1200.1,799.9,deployed,SCr,394,SCr-394
bac wcr,2019-10-21 06:04:49 -07:00,294.25,2019-10-21 06:15:27 -07:00,294.26,2019-10-21 07:18:45 -07:00,294.3,1:03:17,2000,1350.1,649.9,deployed,SCr,395,SCr-395
bac wcr,2019-10-22 06:04:48 -07:00,295.25,2019-10-22 06:15:26 -07:00,295.26,2019-10-22 07:17:51 -07:00,295.3,1:02:24,2000,1275.1,724.9,deployed,SCr,396,SCr-396
bac wcr,2019-10-23 06:04:44 -07:00,296.25,2019-10-23 06:15:21 -07:00,296.26,2019-10-23 07:15:10 -07:00,296.3,0:59:48,2000,1275.1,724.9,deployed,SCr,397,SCr-397
bac wcr,2019-10-24 06:04:50 -07:00,297.25,2019-10-24 06:15:27 -07:00,297.26,2019-10-24 07:14:24 -07:00,297.3,0:58:57,2000,1225.1,774.9,deployed,SCr,398,SCr-398
bac wcr,2019-10-25 06:04:48 -07:00,298.25,2019-10-25 06:15:24 -07:00,298.26,2019-10-25 07:12:39 -07:00,298.3,0:57:14,2000,1275.1,724.9,deployed,SCr,399,SCr-399
