Protocol,Start Date,Start Date (Julian),Sample Start Date,Sample Start Date (Julian),Sample End Date,Sample End Date (Julian),Time To Sample (hh:mm:ss),Target Volume (ml),Actual Volume (ml),Difference (ml),Lab_Field,Extract_Abbr,Extract_No,Extract_ID
bac wcr,2019-12-07 18:04:23 -08:00,341.75,2019-12-07 18:15:01 -08:00,341.76,2019-12-07 18:25:28 -08:00,341.77,0:10:26,2000,225,1775,deployed,SCr,473,SCr-473
bac wcr,2019-12-08 06:04:18 -08:00,342.25,2019-12-08 06:15:01 -08:00,342.26,2019-12-08 06:26:42 -08:00,342.27,0:11:40,2000,97,1903,deployed,SCr,474,SCr-474
bac wcr,2019-12-08 18:04:21 -08:00,342.75,2019-12-08 18:14:57 -08:00,342.76,2019-12-08 18:25:19 -08:00,342.77,0:10:21,2000,125,1875,deployed,SCr,475,SCr-475
bac wcr,2019-12-09 06:04:20 -08:00,343.25,2019-12-09 06:14:57 -08:00,343.26,2019-12-09 06:35:39 -08:00,343.27,0:20:41,2000,224.6,1775.4,deployed,SCr,476,SCr-476
bac wcr,2019-12-09 18:04:19 -08:00,343.75,2019-12-09 18:15:00 -08:00,343.76,2019-12-09 18:34:28 -08:00,343.77,0:19:27,2000,299.6,1700.4,deployed,SCr,477,SCr-477
bac wcr,2019-12-10 06:04:25 -08:00,344.25,2019-12-10 06:15:10 -08:00,344.26,2019-12-10 06:36:14 -08:00,344.28,0:21:04,2000,350,1650,deployed,SCr,478,SCr-478
bac wcr,2019-12-10 18:04:18 -08:00,344.75,2019-12-10 18:14:56 -08:00,344.76,2019-12-10 06:36:14 -08:00,344.28,0:21:04,2000,,,deployed,SCr,479,SCr-479
bac wcr,2019-12-10 21:49:46 -08:00,344.91,2019-12-10 22:00:24 -08:00,344.92,2019-12-10 22:20:10 -08:00,344.93,0:19:45,2000,324.9,1675.1,deployed,SCr,480,SCr-480
bac wcr,2019-12-11 06:04:20 -08:00,345.25,2019-12-11 06:15:04 -08:00,345.26,2019-12-11 06:36:02 -08:00,345.28,0:20:57,2000,320.2,1679.8,deployed,SCr,481,SCr-481
bac wcr,2019-12-11 18:04:22 -08:00,345.75,2019-12-11 18:14:59 -08:00,345.76,2019-12-11 18:36:19 -08:00,345.78,0:21:20,2000,475,1525,deployed,SCr,482,SCr-482
bac wcr,2019-12-12 06:04:21 -08:00,346.25,2019-12-12 06:14:59 -08:00,346.26,2019-12-12 06:42:57 -08:00,346.28,0:27:57,2000,594.4,1405.6,deployed,SCr,483,SCr-483
