target,Ct,quantity
trout,29.13793945,1000
trout,33.1047287,100
trout,32.60919571,100
trout,32.83580399,100
trout,35.81900024,10
trout,36.18396759,10
trout,36.24120712,10
trout,37.5944252,5
trout,Undetermined,5
trout,Undetermined,5
coho,19.93267441,1000000
coho,19.92136383,1000000
coho,19.77113724,1000000
coho,23.41117096,100000
coho,23.22981262,100000
coho,23.23428154,100000
coho,26.69602585,10000
coho,26.84995842,10000
coho,26.66143608,10000
coho,30.39862061,1000
coho,30.25657272,1000
coho,30.37108612,1000
coho,34.03171539,100
coho,34.14590454,100
coho,33.38443375,100
coho,39.75714111,10
coho,Undetermined,10
coho,36.72116852,10
coho,37.16679001,5
coho,37.52861404,5
coho,38.63215256,5
trout,19.5056057,1000000
trout,19.22944641,1000000
trout,18.98415184,1000000
trout,22.85630417,100000
trout,22.51182747,100000
trout,22.56840515,100000
trout,26.36823463,10000
trout,26.17927933,10000
trout,26.20759201,10000
trout,30.12753677,1000
trout,29.88733101,1000
trout,30.16088295,1000
trout,33.89624786,100
trout,33.80143356,100
trout,33.82736206,100
trout,Undetermined,10
trout,38.7147522,10
trout,36.86286545,10
trout,38.86086655,5
trout,38.64065933,5
trout,Undetermined,5
coho,20.2938633,1000000
coho,20.10811806,1000000
coho,19.95395088,1000000
coho,23.63300514,100000
coho,23.56424141,100000
coho,23.66673088,100000
coho,27.13611221,10000
coho,26.9887104,10000
coho,26.97760582,10000
coho,30.88533783,1000
coho,30.74597359,1000
coho,30.84591293,1000
coho,34.65823746,100
coho,34.69967651,100
coho,33.62917709,100
coho,36.8584938,10
coho,37.84810638,10
coho,37.0369339,10
coho,Undetermined,5
coho,37.42751312,5
coho,38.12160492,5
trout,18.78092575,1000000
trout,18.52376938,1000000
trout,18.28087234,1000000
trout,22.14258385,100000
trout,21.67249107,100000
trout,21.88271713,100000
trout,25.8586731,10000
trout,25.54285431,10000
trout,25.74451065,10000
trout,30.02817154,1000
trout,29.72276306,1000
trout,30.15722847,1000
trout,34.7099762,100
trout,36.39065933,100
trout,34.48219299,100
trout,Undetermined,10
trout,Undetermined,10
trout,36.81438446,10
trout,Undetermined,5
trout,Undetermined,5
trout,36.89260864,5
coho,20.49210739,1000000
coho,20.27584267,1000000
coho,20.17225647,1000000
coho,23.86030769,100000
coho,23.76079178,100000
coho,23.7735424,100000
coho,27.33350372,10000
coho,27.18406105,10000
coho,27.11437607,10000
coho,31.27965736,1000
coho,31.3288269,1000
coho,31.24986076,1000
coho,35.24953461,100
coho,35.35694504,100
coho,34.4743576,100
coho,37.65378952,10
coho,37.55342484,10
coho,37.41828537,10
coho,37.72060776,5
coho,38.76805496,5
coho,39.81258392,5
trout,19.42580414,1000000
trout,18.87642479,1000000
trout,18.80857468,1000000
trout,22.59036827,100000
trout,22.08367729,100000
trout,22.40652847,100000
trout,26.0594101,10000
trout,25.96083832,10000
trout,25.94388199,10000
trout,29.61139679,1000
trout,29.54434967,1000
trout,29.6283989,1000
trout,33.78017807,100
trout,33.95133972,100
trout,33.53039169,100
trout,37.96115494,10
trout,Undetermined,10
trout,Undetermined,10
trout,Undetermined,5
trout,Undetermined,5
trout,Undetermined,5
coho,20.32875061,1000000
coho,20.14357567,1000000
coho,20.11238861,1000000
coho,23.89065742,100000
coho,23.65315437,100000
coho,23.78669167,100000
coho,27.26457787,10000
coho,27.25659752,10000
coho,27.15999413,10000
coho,31.07575035,1000
coho,30.84645081,1000
coho,30.79725266,1000
coho,34.39804459,100
coho,34.63233185,100
coho,35.36245346,100
coho,38.01038742,10
coho,38.33706284,10
coho,38.08235931,10
coho,Undetermined,5
coho,39.36888885,5
coho,37.58037949,5
trout,19.34679413,1000000
trout,18.87501717,1000000
trout,18.65279579,1000000
trout,22.80827332,100000
trout,22.45959473,100000
trout,22.50944519,100000
trout,26.45160675,10000
trout,26.28643227,10000
trout,26.2178421,10000
trout,30.23908424,1000
trout,30.00922775,1000
trout,29.92532349,1000
trout,32.84903717,100
trout,32.62877655,100
trout,32.82820129,100
trout,37.64098358,10
trout,Undetermined,10
trout,37.62044525,10
trout,Undetermined,5
trout,Undetermined,5
trout,37.45766449,5
coho,20.53692245,1000000
coho,20.27962685,1000000
coho,20.33486748,1000000
coho,23.87234688,100000
coho,23.75339508,100000
coho,23.85361671,100000
coho,27.39843369,10000
coho,27.34305,10000
coho,27.22416306,10000
coho,30.78435135,1000
coho,30.81542969,1000
coho,30.72526932,1000
coho,34.94569397,100
coho,34.73808289,100
coho,34.7590332,100
coho,38.45287704,10
coho,37.86621094,10
coho,38.65752792,10
coho,Undetermined,5
coho,38.44514084,5
coho,37.5652504,5
trout,18.55862999,1000000
trout,17.97569656,1000000
trout,17.90092468,1000000
trout,22.11580086,100000
trout,21.88807297,100000
trout,21.74031448,100000
trout,25.62251663,10000
trout,25.58848572,10000
trout,25.00789452,10000
trout,29.55508423,1000
trout,29.49638367,1000
trout,29.51545715,1000
trout,34.23775864,100
trout,34.22745895,100
trout,33.55051804,100
trout,Undetermined,10
trout,35.6749382,10
trout,Undetermined,10
trout,Undetermined,5
trout,36.74212646,5
trout,37.02275467,5
coho,20.61344719,1000000
coho,20.30160332,1000000
coho,20.43521309,1000000
coho,24.10971069,100000
coho,23.97994995,100000
coho,23.99913406,100000
coho,27.6714859,10000
coho,27.65236664,10000
coho,27.64660645,10000
coho,31.78589439,1000
coho,31.5043354,1000
coho,31.72761536,1000
coho,35.54390335,100
coho,36.24835587,100
coho,34.99307632,100
coho,38.69668579,10
coho,Undetermined,10
coho,Undetermined,10
coho,Undetermined,5
coho,Undetermined,5
coho,39.50749207,5
trout,18.9887619,1000000
trout,18.53006363,1000000
trout,18.39100647,1000000
trout,22.43885803,100000
trout,22.23456573,100000
trout,22.46944618,100000
trout,26.3767395,10000
trout,26.09964943,10000
trout,26.09364891,10000
trout,31.09727287,1000
trout,31.25060463,1000
trout,31.19152641,1000
trout,35.82412338,100
trout,35.07307816,100
trout,33.87068558,100
trout,Undetermined,10
trout,Undetermined,10
trout,Undetermined,10
trout,Undetermined,5
trout,Undetermined,5
trout,Undetermined,5
coho,20.45141983,1000000
coho,20.13747597,1000000
coho,20.12067032,1000000
coho,23.8353405,100000
coho,23.77036285,100000
coho,23.7958107,100000
coho,27.35222244,10000
coho,27.29100227,10000
coho,27.36733627,10000
coho,30.9284668,1000
coho,30.9352932,1000
coho,30.91710854,1000
coho,34.49343109,100
coho,34.22161484,100
coho,34.34310532,100
coho,38.13274765,10
coho,36.92890549,10
coho,37.41056824,10
coho,Undetermined,5
coho,Undetermined,5
coho,39.29018402,5
trout,19.63862801,1000000
trout,19.09452629,1000000
trout,18.75442505,1000000
trout,22.33509254,100000
trout,22.14324951,100000
trout,22.12770653,100000
trout,26.05587959,10000
trout,25.92102814,10000
trout,26.04609489,10000
trout,28.91205597,1000
trout,29.28285408,1000
trout,29.5430088,1000
trout,33.90230179,100
trout,33.32268524,100
trout,34.34675217,100
trout,Undetermined,10
trout,36.60606766,10
trout,37.70275116,10
trout,Undetermined,5
trout,Undetermined,5
trout,Undetermined,5
coho,20.04881668,1000000
coho,19.770298,1000000
coho,19.79183578,1000000
coho,23.51587105,100000
coho,23.38245773,100000
coho,23.43979645,100000
coho,26.9144268,10000
coho,26.93629074,10000
coho,26.83182716,10000
coho,30.48516846,1000
coho,30.26501846,1000
coho,30.42165184,1000
coho,33.45973206,100
coho,33.86385345,100
coho,33.89933777,100
coho,37.21154785,10
coho,38.51087952,10
coho,Undetermined,10
coho,37.86175537,5
coho,38.43019104,5
coho,Undetermined,5
coho,19.60091591,1000000
coho,20.02011681,1000000
coho,20.08889389,1000000
coho,22.83918571,100000
coho,23.62526703,100000
coho,23.80764198,100000
coho,26.12239265,10000
coho,27.39507294,10000
coho,27.37091827,10000
coho,29.72556305,1000
coho,30.90073013,1000
coho,31.00858116,1000
coho,32.92407227,100
coho,34.40977097,100
coho,34.14263916,100
coho,36.30222702,10
coho,39.44627762,10
coho,38.49964142,10
coho,Undetermined,5
coho,Undetermined,5
coho,Undetermined,5
trout,19.11454773,1000000
trout,18.66811371,1000000
trout,18.65550232,1000000
trout,22.58140182,100000
trout,22.02672768,100000
trout,22.16699219,100000
trout,26.34988403,10000
trout,26.27582169,10000
trout,26.22420502,10000
trout,29.27848434,1000
trout,29.19020844,1000
trout,29.24186134,1000
trout,32.59131622,100
trout,33.09500885,100
trout,32.485466,100
trout,35.05482101,10
trout,Undetermined,10
trout,35.93747711,10
trout,38.63347626,5
trout,Undetermined,5
trout,35.46581268,5
trout,19.11274338,1000000
trout,18.49892616,1000000
trout,18.35137177,1000000
trout,22.40174484,100000
trout,22.14916611,100000
trout,22.12914276,100000
trout,Undetermined,10000
trout,Undetermined,10000
trout,Undetermined,10000
trout,26.20182419,1000
trout,25.94949913,1000
trout,26.1141758,1000
trout,33.02750397,100
trout,32.81047058,100
trout,32.32675171,100
trout,35.71966171,10
trout,37.45451355,10
trout,36.26045227,10
trout,37.84167099,5
trout,Undetermined,5
trout,36.12130737,5
coho,19.86132431,1000000
coho,20.09346199,1000000
coho,20.01317406,1000000
coho,23.15799713,100000
coho,23.60360146,100000
coho,23.6775589,100000
coho,26.51267433,10000
coho,26.82748985,10000
coho,26.69360733,10000
coho,30.18655586,1000
coho,30.35925293,1000
coho,30.36006355,1000
coho,33.5318222,100
coho,33.40156555,100
coho,33.58236694,100
coho,39.6964798,10
coho,36.63301086,10
coho,38.05878448,10
coho,39.75469971,5
coho,39.67617035,5
coho,38.04696274,5
trout,19.89908028,1000000
trout,19.53320885,1000000
