Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201123_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-23 12:54:15 PM PST,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,OUTLIERRG,EXPFAIL
E9,SCr-065-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.30012131,36.0020752,1.627793789,14.94340801,12.6225853,8.817295074,FALSE,0.1,TRUE,3,31,,Y,N,N,N,N
E10,SCr-243,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.77121353,30.99500084,0.249237433,274.6637573,239.8734741,37.5058403,FALSE,0.1,TRUE,3,26,,N,N,N,N,N
E11,SCr-243,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.95018387,30.99500084,0.249237433,244.814743,239.8734741,37.5058403,FALSE,0.1,TRUE,3,27,,N,N,N,N,N
E12,SCr-243,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.26360703,30.99500084,0.249237433,200.141922,239.8734741,37.5058403,FALSE,0.1,TRUE,3,27,,N,N,N,N,N
F1,,O.mykiss,STANDARD,FAM,NFQ-MGB,35.19506454,36.34268188,1.989956379,10,,,FALSE,0.1,TRUE,3,31,,Y,N,N,N,N
F2,,O.mykiss,STANDARD,FAM,NFQ-MGB,38.64048386,36.34268188,1.989956379,10,,,FALSE,0.1,TRUE,3,35,,Y,N,N,Y,N
F3,,O.mykiss,STANDARD,FAM,NFQ-MGB,35.19249344,36.34268188,1.989956379,10,,,FALSE,0.1,TRUE,3,31,,Y,N,N,N,N
F4,SCr-068,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.86182213,29.9335804,0.132573634,492.809967,471.7150574,39.17127609,FALSE,0.1,TRUE,3,25,,N,N,N,N,N
F5,SCr-068,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.08656693,29.9335804,0.132573634,426.5173035,471.7150574,39.17127609,FALSE,0.1,TRUE,3,27,,N,N,N,N,N
F6,SCr-068,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.85235596,29.9335804,0.132573634,495.8178711,471.7150574,39.17127609,FALSE,0.1,TRUE,3,25,,N,N,N,N,N
F7,SCr-068-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.85472107,32.1835022,0.293145329,136.871994,112.1479874,21.8730526,FALSE,0.1,TRUE,3,28,,N,N,N,N,N
F8,SCr-068-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.27817535,32.1835022,0.293145329,104.2551041,112.1479874,21.8730526,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
F9,SCr-068-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.41761398,32.1835022,0.293145329,95.31686401,112.1479874,21.8730526,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
F10,SCr-243-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.04880524,32.90467072,0.20818615,63.5269165,70.12088776,9.693917274,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
F11,SCr-243-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.66598892,32.90467072,0.20818615,81.25124359,70.12088776,9.693917274,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
F12,SCr-243-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.99921799,32.90467072,0.20818615,65.58450317,70.12088776,9.693917274,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
G1,,O.mykiss,STANDARD,FAM,NFQ-MGB,36.87007904,37.30606461,0.616576672,5,,,FALSE,0.1,TRUE,3,33,,Y,N,N,N,N
G2,,O.mykiss,STANDARD,FAM,NFQ-MGB,37.74205017,37.30606461,0.616576672,5,,,FALSE,0.1,TRUE,3,34,,Y,N,N,N,N
G3,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,37.30606461,0.616576672,5,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
