Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201019_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-19 14:04:26 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,OUTLIERRG,EXPFAIL
E8,SCr-166-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.83947372,33.18530655,0.299553663,321.2528992,267.5437622,46.51967239,FALSE,0.1,TRUE,3,29,,N,Y,N
E9,SCr-166-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.35255432,33.18530655,0.299553663,241.4485931,267.5437622,46.51967239,FALSE,0.1,TRUE,3,30,,N,N,N
E10,SCr-172,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.9606781,32.31879807,0.323803812,523.9266357,434.0084229,80.43216705,FALSE,0.1,TRUE,3,29,,N,N,N
E11,SCr-172,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.4047966,32.31879807,0.323803812,409.183075,434.0084229,80.43216705,FALSE,0.1,TRUE,3,28,,N,N,N
E12,SCr-172,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.59092331,32.31879807,0.323803812,368.9155273,434.0084229,80.43216705,FALSE,0.1,TRUE,3,29,,N,N,N
F1,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,,,10,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F2,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,,,10,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F3,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,,,10,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F4,SCr-167,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.46656799,30.28150368,0.346443057,1203.450806,1351.214478,273.1100769,FALSE,0.1,TRUE,3,28,,N,N,N
F5,SCr-167,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.49611473,30.28150368,0.346443057,1183.821655,1351.214478,273.1100769,FALSE,0.1,TRUE,3,27,,N,N,N
F6,SCr-167,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.88183022,30.28150368,0.346443057,1666.371216,1351.214478,273.1100769,FALSE,0.1,TRUE,3,25,,N,N,N
F7,SCr-167-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.92326355,32.14400864,0.233966812,534.951416,475.7628479,61.19849014,FALSE,0.1,TRUE,3,28,,N,N,N
F8,SCr-167-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.38926697,32.14400864,0.233966812,412.735199,475.7628479,61.19849014,FALSE,0.1,TRUE,3,29,,N,N,N
F9,SCr-167-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.11949539,32.14400864,0.233966812,479.6019897,475.7628479,61.19849014,FALSE,0.1,TRUE,3,28,,N,N,N
F10,SCr-172-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.94867706,33.85869217,0.078207016,173.2723541,182.2856598,7.835734844,FALSE,0.1,TRUE,3,31,,N,N,N
F11,SCr-172-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.80711365,33.85869217,0.078207016,187.4770508,182.2856598,7.835734844,FALSE,0.1,TRUE,3,31,,N,N,N
F12,SCr-172-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.8202858,33.85869217,0.078207016,186.107605,182.2856598,7.835734844,FALSE,0.1,TRUE,3,30,,N,N,N
G1,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,,,5,,,FALSE,0.1,TRUE,3,39,,N,N,Y
G2,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,,,5,,,FALSE,0.1,TRUE,3,39,,N,N,Y
G3,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,,,5,,,FALSE,0.1,TRUE,3,39,,N,N,Y
G4,SCr-168,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.45735741,31.54166222,0.195978388,693.3198853,664.1154785,70.23612213,FALSE,0.1,TRUE,3,29,,N,N,N
G5,SCr-168,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.4019413,31.54166222,0.195978388,715.0376587,664.1154785,70.23612213,FALSE,0.1,TRUE,3,28,,N,N,N
G6,SCr-168,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.76568413,31.54166222,0.195978388,583.9889526,664.1154785,70.23612213,FALSE,0.1,TRUE,3,28,,N,N,N
G7,SCr-168-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.07484818,33.19877625,0.108639561,281.8072205,263.348053,16.16249084,FALSE,0.1,TRUE,3,29,,N,N,N
G8,SCr-168-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.27758026,33.19877625,0.108639561,251.7372437,263.348053,16.16249084,FALSE,0.1,TRUE,3,30,,N,N,N
