Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201015_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-15 11:28:16 AM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,NOAMP,OUTLIERRG,EXPFAIL
E12,SCr-211,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.11721992,29.73539925,0.330702275,592.711792,764.1872559,148.5253143,FALSE,0.1,TRUE,3,28,,N,N,N
F1,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,35.6749382,,10,,,FALSE,0.1,TRUE,3,39,,Y,N,Y
F2,,O.mykiss,STANDARD,FAM,NFQ-MGB,35.6749382,35.6749382,,10,,,FALSE,0.1,TRUE,3,32,,N,N,N
F3,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,35.6749382,,10,,,FALSE,0.1,TRUE,3,39,,N,N,Y
F4,SCr-206,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.0986805,31.08777618,0.163233474,319.592804,322.9304504,33.2988472,FALSE,0.1,TRUE,3,28,,N,N,N
F5,SCr-206,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.24528313,31.08777618,0.163233474,291.4261475,322.9304504,33.2988472,FALSE,0.1,TRUE,3,28,,N,N,N
F6,SCr-206,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.91936302,31.08777618,0.163233474,357.7724609,322.9304504,33.2988472,FALSE,0.1,TRUE,3,28,,N,N,N
F7,SCr-206-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.53376389,31.32590294,0.361038208,243.0428009,282.0059509,67.64076996,FALSE,0.1,TRUE,3,28,,N,N,N
F8,SCr-206-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.53493118,31.32590294,0.361038208,242.8643341,282.0059509,67.64076996,FALSE,0.1,TRUE,3,28,,N,N,N
F9,SCr-206-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.90901184,31.32590294,0.361038208,360.1107178,282.0059509,67.64076996,FALSE,0.1,TRUE,3,28,,N,N,N
F10,SCr-211-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.64659119,31.78278351,0.480520368,226.3838959,213.9197845,60.17432404,FALSE,0.1,TRUE,3,28,,N,N,N
F11,SCr-211-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.38505936,31.78278351,0.480520368,266.8859863,213.9197845,60.17432404,FALSE,0.1,TRUE,3,29,,N,N,N
