"Plot Title: Range"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309219, SEN S/N: 20309219, LBL: F)","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","Coupler Attached (LGR S/N: 20309219)","Host Connected (LGR S/N: 20309219)","Stopped (LGR S/N: 20309219)","End Of File (LGR S/N: 20309219)"
385,03/10/20 01:45:00 AM,52.225,,,,,
386,03/10/20 02:00:00 AM,52.750,,,,,
387,03/10/20 02:15:00 AM,52.750,,,,,
388,03/10/20 02:30:00 AM,52.576,,,,,
389,03/10/20 02:45:00 AM,52.401,,,,,
390,03/10/20 03:00:00 AM,52.225,,,,,
391,03/10/20 03:15:00 AM,51.874,,,,,
392,03/10/20 03:30:00 AM,51.172,,,,,
393,03/10/20 03:45:00 AM,50.995,,,,,
394,03/10/20 04:00:00 AM,51.346,,,,,
395,03/10/20 04:15:00 AM,51.874,,,,,
396,03/10/20 04:30:00 AM,52.050,,,,,
397,03/10/20 04:45:00 AM,52.225,,,,,
398,03/10/20 05:00:00 AM,52.401,,,,,
399,03/10/20 05:15:00 AM,52.401,,,,,
400,03/10/20 05:30:00 AM,52.576,,,,,
401,03/10/20 05:45:00 AM,52.576,,,,,
402,03/10/20 06:00:00 AM,52.401,,,,,
403,03/10/20 06:15:00 AM,52.401,,,,,
404,03/10/20 06:30:00 AM,52.225,,,,,
405,03/10/20 06:45:00 AM,51.874,,,,,
406,03/10/20 07:00:00 AM,52.225,,,,,
407,03/10/20 07:15:00 AM,52.925,,,,,
408,03/10/20 07:30:00 AM,53.973,,,,,
409,03/10/20 07:45:00 AM,55.711,,,,,
410,03/10/20 08:00:00 AM,57.958,,,,,
411,03/10/20 08:15:00 AM,61.227,,,,,
412,03/10/20 08:30:00 AM,64.481,,,,,
413,03/10/20 08:45:00 AM,68.077,,,,,
414,03/10/20 09:00:00 AM,71.856,,,,,
415,03/10/20 09:15:00 AM,77.225,,,,,
416,03/10/20 09:30:00 AM,83.757,,,,,
417,03/10/20 09:45:00 AM,83.579,,,,,
418,03/10/20 10:00:00 AM,81.975,,,,,
419,03/10/20 10:15:00 AM,79.151,,,,,
420,03/10/20 10:30:00 AM,78.098,,,,,
421,03/10/20 10:45:00 AM,79.853,,,,,
422,03/10/20 11:00:00 AM,80.735,,,,,
423,03/10/20 11:15:00 AM,87.004,,,,,
424,03/10/20 11:30:00 AM,85.194,,,,,
425,03/10/20 11:45:00 AM,83.579,,,,,
426,03/10/20 12:00:00 PM,87.186,,,,,
427,03/10/20 12:15:00 PM,88.466,,,,,
428,03/10/20 12:30:00 PM,87.733,,,,,
429,03/10/20 12:45:00 PM,84.654,,,,,
430,03/10/20 01:00:00 PM,91.240,,,,,
431,03/10/20 01:15:00 PM,96.168,,,,,
432,03/10/20 01:30:00 PM,93.682,,,,,
433,03/10/20 01:45:00 PM,87.915,,,,,
434,03/10/20 02:00:00 PM,85.554,,,,,
435,03/10/20 02:15:00 PM,82.508,,,,,
436,03/10/20 02:30:00 PM,85.554,,,,,
437,03/10/20 02:45:00 PM,86.641,,,,,
438,03/10/20 03:00:00 PM,89.200,,,,,
439,03/10/20 03:15:00 PM,86.277,,,,,
440,03/10/20 03:30:00 PM,82.686,,,,,
441,03/10/20 03:45:00 PM,81.975,,,,,
442,03/10/20 04:00:00 PM,78.098,,,,,
443,03/10/20 04:15:00 PM,73.926,,,,,
444,03/10/20 04:30:00 PM,70.137,,,,,
445,03/10/20 04:45:00 PM,67.221,,,,,
446,03/10/20 05:00:00 PM,65.338,,,,,
447,03/10/20 05:15:00 PM,65.680,,,,,
448,03/10/20 05:30:00 PM,64.139,,,,,
449,03/10/20 05:45:00 PM,61.741,,,,,
450,03/10/20 06:00:00 PM,59.508,,,,,
451,03/10/20 06:15:00 PM,57.785,,,,,
452,03/10/20 06:30:00 PM,57.096,,,,,
453,03/10/20 06:45:00 PM,56.577,,,,,
454,03/10/20 07:00:00 PM,56.057,,,,,
455,03/10/20 07:15:00 PM,55.711,,,,,
456,03/10/20 07:30:00 PM,56.057,,,,,
457,03/10/20 07:45:00 PM,56.230,,,,,
458,03/10/20 08:00:00 PM,55.711,,,,,
459,03/10/20 08:15:00 PM,55.711,,,,,
460,03/10/20 08:30:00 PM,55.711,,,,,
461,03/10/20 08:45:00 PM,55.711,,,,,
462,03/10/20 09:00:00 PM,55.364,,,,,
463,03/10/20 09:15:00 PM,54.842,,,,,
464,03/10/20 09:30:00 PM,54.669,,,,,
465,03/10/20 09:45:00 PM,54.322,,,,,
466,03/10/20 10:00:00 PM,53.100,,,,,
467,03/10/20 10:15:00 PM,51.874,,,,,
468,03/10/20 10:30:00 PM,51.346,,,,,
469,03/10/20 10:45:00 PM,51.172,,,,,
470,03/10/20 11:00:00 PM,51.346,,,,,
471,03/10/20 11:15:00 PM,50.819,,,,,
472,03/10/20 11:30:00 PM,50.466,,,,,
473,03/10/20 11:45:00 PM,50.643,,,,,
474,03/11/20 12:00:00 AM,50.643,,,,,
475,03/11/20 12:15:00 AM,50.643,,,,,
476,03/11/20 12:30:00 AM,50.113,,,,,
477,03/11/20 12:45:00 AM,49.228,,,,,
478,03/11/20 01:00:00 AM,48.695,,,,,
479,03/11/20 01:15:00 AM,48.871,,,,,
480,03/11/20 01:30:00 AM,49.228,,,,,
481,03/11/20 01:45:00 AM,49.050,,,,,
482,03/11/20 02:00:00 AM,49.228,,,,,
483,03/11/20 02:15:00 AM,49.404,,,,,
484,03/11/20 02:30:00 AM,49.404,,,,,
485,03/11/20 02:45:00 AM,49.582,,,,,
486,03/11/20 03:00:00 AM,49.937,,,,,
487,03/11/20 03:15:00 AM,49.582,,,,,
488,03/11/20 03:30:00 AM,48.695,,,,,
489,03/11/20 03:45:00 AM,48.517,,,,,
490,03/11/20 04:00:00 AM,48.339,,,,,
491,03/11/20 04:15:00 AM,48.517,,,,,
492,03/11/20 04:30:00 AM,48.871,,,,,
493,03/11/20 04:45:00 AM,49.228,,,,,
494,03/11/20 05:00:00 AM,49.050,,,,,
495,03/11/20 05:15:00 AM,49.050,,,,,
496,03/11/20 05:30:00 AM,48.871,,,,,
497,03/11/20 05:45:00 AM,48.695,,,,,
498,03/11/20 06:00:00 AM,48.160,,,,,
499,03/11/20 06:15:00 AM,47.802,,,,,
500,03/11/20 06:30:00 AM,47.802,,,,,
501,03/11/20 06:45:00 AM,48.339,,,,,
502,03/11/20 07:00:00 AM,49.228,,,,,
503,03/11/20 07:15:00 AM,50.290,,,,,
504,03/11/20 07:30:00 AM,51.172,,,,,
505,03/11/20 07:45:00 AM,52.401,,,,,
506,03/11/20 08:00:00 AM,57.096,,,,,
507,03/11/20 08:15:00 AM,61.569,,,,,
508,03/11/20 08:30:00 AM,66.366,,,,,
509,03/11/20 08:45:00 AM,70.308,,,,,
510,03/11/20 09:00:00 AM,73.234,,,,,
511,03/11/20 09:15:00 AM,90.124,,,,,
512,03/11/20 09:30:00 AM,101.685,,,,,
513,03/11/20 09:45:00 AM,111.360,,,,,
514,03/11/20 10:00:00 AM,115.407,,,,,
515,03/11/20 10:15:00 AM,117.498,,,,,
516,03/11/20 10:30:00 AM,119.397,,,,,
517,03/11/20 10:45:00 AM,119.158,,,,,
518,03/11/20 11:00:00 AM,118.679,,,,,
