Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201021_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,OUTLIERRG,EXPFAIL
D7,SCr-359-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.44358444,33.65374374,0.230735585,56.02521133,48.97117233,7.505610466,FALSE,0.1,TRUE,3,29,,N,N,N
D8,SCr-359-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.61700058,33.65374374,0.230735585,49.80472183,48.97117233,7.505610466,FALSE,0.1,TRUE,3,29,,N,N,N
D9,SCr-359-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.90064621,33.65374374,0.230735585,41.08358002,48.97117233,7.505610466,FALSE,0.1,TRUE,3,31,,N,N,N
D10,SCr-365-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.42323685,33.83618546,0.622311532,28.81635094,45.56772995,19.40304184,FALSE,0.1,TRUE,3,31,,Y,N,N
D11,SCr-365-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.90154648,33.83618546,0.622311532,41.05848694,45.56772995,19.40304184,FALSE,0.1,TRUE,3,29,,Y,N,N
D12,SCr-365-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.18377304,33.83618546,0.622311532,66.82835388,45.56772995,19.40304184,FALSE,0.1,TRUE,3,30,,Y,N,N
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,32.59131622,32.72393036,0.325692356,100,,,FALSE,0.1,TRUE,3,29,,N,N,N
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.09500885,32.72393036,0.325692356,100,,,FALSE,0.1,TRUE,3,29,,N,N,N
E3,,O.mykiss,STANDARD,FAM,NFQ-MGB,32.485466,32.72393036,0.325692356,100,,,FALSE,0.1,TRUE,3,29,,N,N,N
E4,SCr-360,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.09008408,32.156353,0.058671597,140.3836823,134.2815704,5.395274162,FALSE,0.1,TRUE,3,29,,N,N,N
E5,SCr-360,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.1772728,32.156353,0.058671597,132.3178711,134.2815704,5.395274162,FALSE,0.1,TRUE,3,28,,N,N,N
E6,SCr-360,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.20169067,32.156353,0.058671597,130.1432037,134.2815704,5.395274162,FALSE,0.1,TRUE,3,28,,N,N,N
E7,SCr-360-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.74178314,33.06423187,0.401484013,90.2056427,74.21075439,18.86010742,FALSE,0.1,TRUE,3,29,,N,N,N
E8,SCr-360-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.93699265,33.06423187,0.401484013,79.01277161,74.21075439,18.86010742,FALSE,0.1,TRUE,3,29,,N,N,N
E9,SCr-360-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.51391602,33.06423187,0.401484013,53.41384506,74.21075439,18.86010742,FALSE,0.1,TRUE,3,29,,N,N,N
E10,SCr-366,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.8652153,33.46535873,0.46547547,42.08344269,57.12104416,18.71893311,FALSE,0.1,TRUE,3,30,,N,N,N
E11,SCr-366,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.95437622,33.46535873,0.46547547,78.08608246,57.12104416,18.71893311,FALSE,0.1,TRUE,3,29,,N,N,N
E12,SCr-366,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.57647324,33.46535873,0.46547547,51.19359589,57.12104416,18.71893311,FALSE,0.1,TRUE,3,29,,N,N,N
