Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201008_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-08 12:22:25 PM PDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
D9,SCr-300-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.29593468,31.33922768,0.125529349,493.0520935,480.9519958,36.7356987,FALSE,0.1,TRUE,3,28,,N,N
D10,SCr-306-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.92925072,31.95129585,0.043075033,332.9372253,328.4953613,8.705696106,FALSE,0.1,TRUE,3,28,,N,N
D11,SCr-306-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.00093079,31.95129585,0.043075033,318.4647217,328.4953613,8.705696106,FALSE,0.1,TRUE,3,29,,N,N
D12,SCr-306-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.92370415,31.95129585,0.043075033,334.084137,328.4953613,8.705696106,FALSE,0.1,TRUE,3,28,,N,N
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.89624786,33.84168243,0.049002197,100,,,FALSE,0.1,TRUE,3,30,,N,N
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.80143356,33.84168243,0.049002197,100,,,FALSE,0.1,TRUE,3,30,,N,N
E3,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.82736206,33.84168243,0.049002197,100,,,FALSE,0.1,TRUE,3,30,,N,N
E4,SCr-301,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.97549629,30.67183685,0.264614552,601.4173584,732.3410034,114.3118362,FALSE,0.1,TRUE,3,28,,N,N
E5,SCr-301,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.49060822,30.67183685,0.264614552,812.34375,732.3410034,114.3118362,FALSE,0.1,TRUE,3,27,,N,N
E6,SCr-301,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.54940796,30.67183685,0.264614552,783.2620239,732.3410034,114.3118362,FALSE,0.1,TRUE,3,27,,N,N
E7,SCr-301-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.29406166,31.10469246,0.188279212,493.625,557.6432495,64.91957855,FALSE,0.1,TRUE,3,27,,N,N
E8,SCr-301-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.91752243,31.10469246,0.188279212,623.4281006,557.6432495,64.91957855,FALSE,0.1,TRUE,3,28,,N,N
E9,SCr-301-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.10249901,31.10469246,0.188279212,555.876709,557.6432495,64.91957855,FALSE,0.1,TRUE,3,27,,N,N
E10,SCr-307,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.76908875,29.79352379,0.033423789,1270.634033,1251.707153,25.80021095,FALSE,0.1,TRUE,3,25,,N,N
E11,SCr-307,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.77987099,29.79352379,0.033423789,1262.168091,1251.707153,25.80021095,FALSE,0.1,TRUE,3,26,,N,N
E12,SCr-307,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.83161354,29.79352379,0.033423789,1222.319336,1251.707153,25.80021095,FALSE,0.1,TRUE,3,26,,N,N
F1,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,37.78881073,1.309481621,10,,,FALSE,0.1,TRUE,3,39,,N,Y
F2,,O.mykiss,STANDARD,FAM,NFQ-MGB,38.7147522,37.78881073,1.309481621,10,,,FALSE,0.1,TRUE,3,35,,Y,N
F3,,O.mykiss,STANDARD,FAM,NFQ-MGB,36.86286545,37.78881073,1.309481621,10,,,FALSE,0.1,TRUE,3,33,,Y,N
F4,SCr-302,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.85166931,29.90786934,0.208266392,1207.214233,1172.257446,147.369873,FALSE,0.1,TRUE,3,26,,N,N
F5,SCr-302,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.1384697,29.90786934,0.208266392,1010.552185,1172.257446,147.369873,FALSE,0.1,TRUE,3,27,,N,N
F6,SCr-302,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.73347092,29.90786934,0.208266392,1299.005981,1172.257446,147.369873,FALSE,0.1,TRUE,3,26,,N,N
F7,SCr-302-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.43181801,31.47612953,0.087845355,453.2147827,441.3641663,23.65823364,FALSE,0.1,TRUE,3,27,,N,N
F8,SCr-302-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.57730675,31.47612953,0.087845355,414.1225586,441.3641663,23.65823364,FALSE,0.1,TRUE,3,28,,N,N
F9,SCr-302-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.41926765,31.47612953,0.087845355,456.755127,441.3641663,23.65823364,FALSE,0.1,TRUE,3,28,,N,N
F10,SCr-307-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.7842617,31.39702415,0.409622282,364.2528381,473.2359619,121.4413681,FALSE,0.1,TRUE,3,28,,N,N
F11,SCr-307-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.96819115,31.39702415,0.409622282,604.147522,473.2359619,121.4413681,FALSE,0.1,TRUE,3,27,,N,N
F12,SCr-307-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.43861961,31.39702415,0.409622282,451.3075562,473.2359619,121.4413681,FALSE,0.1,TRUE,3,28,,N,N
G1,,O.mykiss,STANDARD,FAM,NFQ-MGB,38.86086655,38.75076294,0.155710012,5,,,FALSE,0.1,TRUE,3,35,,N,N
G2,,O.mykiss,STANDARD,FAM,NFQ-MGB,38.64065933,38.75076294,0.155710012,5,,,FALSE,0.1,TRUE,3,35,,N,N
G3,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,38.75076294,0.155710012,5,,,FALSE,0.1,TRUE,3,39,,N,Y
G4,SCr-303,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.05985641,31.90905762,0.130743876,307.0397949,337.8595886,26.72513962,FALSE,0.1,TRUE,3,29,,N,N
G5,SCr-303,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.83984566,31.90905762,0.130743876,351.9136353,337.8595886,26.72513962,FALSE,0.1,TRUE,3,29,,N,N
G6,SCr-303,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.82746506,31.90905762,0.130743876,354.6253357,337.8595886,26.72513962,FALSE,0.1,TRUE,3,28,,N,N
G7,SCr-303-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.38495636,34.58073044,0.766812444,39.07134628,69.14511108,30.84563255,FALSE,0.1,TRUE,3,31,,Y,N
G8,SCr-303-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.85781097,34.58073044,0.766812444,100.7086258,69.14511108,30.84563255,FALSE,0.1,TRUE,3,30,,Y,N
G9,SCr-303-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.49942398,34.58073044,0.766812444,67.65534973,69.14511108,30.84563255,FALSE,0.1,TRUE,3,31,,Y,N
G10,SCr-308,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.82579041,29.73764038,0.314183265,1226.740356,1312.505981,263.7799377,FALSE,0.1,TRUE,3,26,,N,N
G11,SCr-308,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.38879776,29.73764038,0.314183265,1608.495728,1312.505981,263.7799377,FALSE,0.1,TRUE,3,25,,N,N
G12,SCr-308,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.99833298,29.73764038,0.314183265,1102.282227,1312.505981,263.7799377,FALSE,0.1,TRUE,3,26,,N,N
H1,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H2,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H3,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N
H4,SCr-304,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.51398659,30.60064888,0.125930816,800.6539307,760.2893066,58.04734421,FALSE,0.1,TRUE,3,26,,N,N
H5,SCr-304,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.74510384,30.60064888,0.125930816,693.765686,760.2893066,58.04734421,FALSE,0.1,TRUE,3,27,,N,N
H6,SCr-304,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.54286003,30.60064888,0.125930816,786.4483032,760.2893066,58.04734421,FALSE,0.1,TRUE,3,27,,N,N
H7,SCr-304-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.93899536,31.99386024,0.060883127,330.9317627,320.0152283,12.01977825,FALSE,0.1,TRUE,3,28,,N,N
H8,SCr-304-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.0593605,31.99386024,0.060883127,307.1342163,320.0152283,12.01977825,FALSE,0.1,TRUE,3,28,,N,N
H9,SCr-304-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.98322678,31.99386024,0.060883127,321.9796448,320.0152283,12.01977825,FALSE,0.1,TRUE,3,28,,N,N
H10,SCr-308-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.05540848,32.03318787,0.109978758,307.8876953,312.6459961,21.51603699,FALSE,0.1,TRUE,3,29,,N,N
H11,SCr-308-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.91379547,32.03318787,0.109978758,336.1428833,312.6459961,21.51603699,FALSE,0.1,TRUE,3,29,,N,N
H12,SCr-308-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.13035965,32.03318787,0.109978758,293.9074097,312.6459961,21.51603699,FALSE,0.1,TRUE,3,28,,N,N
